,County_Name,population,pop_below_poverty,pct_below_poverty,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries,year,Employment_Accommodation,Employment_Accommodation_and_Food_Services,Employment_Administrative_and_Support_Services,Employment_Administrative_and_Support_and_Waste_Management_and_Remediation_Services,"Employment_Agriculture,_Forestry,_Fishing_and_Hunting",Employment_Air_Transportation,Employment_Ambulatory_Health_Care_Services,"Employment_Amusement,_Gambling,_and_Recreation_Industries",Employment_Apparel_Manufacturing,"Employment_Arts,_Entertainment,_and_Recreation",Employment_Beverage_and_Tobacco_Product_Manufacturing,Employment_Broadcasting_(except_Internet),Employment_Building_Material_and_Garden_Equipment_and_Supplies_Dealers,Employment_Chemical_Manufacturing,Employment_Clothing_and_Clothing_Accessories_Stores,Employment_Computer_and_Electronic_Product_Manufacturing,Employment_Construction,Employment_Construction_of_Buildings,Employment_Couriers_and_Messengers,Employment_Credit_Intermediation_and_Related_Activities,"Employment_Data_Processing,_Hosting,_and_Related_Services",Employment_Educational_Services,"Employment_Electrical_Equipment,_Appliance,_and_Component_Manufacturing",Employment_Electronics_and_Appliance_Stores,Employment_Fabricated_Metal_Product_Manufacturing,Employment_Finance_and_Insurance,"Employment_Fishing,_Hunting_and_Trapping",Employment_Food_Manufacturing,Employment_Food_Services_and_Drinking_Places,Employment_Food_and_Beverage_Stores,Employment_Forestry_and_Logging,"Employment_Funds,_Trusts,_and_Other_Financial_Vehicles",Employment_Furniture_and_Home_Furnishings_Stores,Employment_Furniture_and_Related_Product_Manufacturing,Employment_Gasoline_Stations,Employment_General_Merchandise_Stores,Employment_Health_Care_and_Social_Assistance,Employment_Health_and_Personal_Care_Stores,Employment_Heavy_and_Civil_Engineering_Construction,Employment_Hospitals,Employment_Industries_not_classified,Employment_Information,Employment_Insurance_Carriers_and_Related_Activities,Employment_Lessors_of_Nonfinancial_Intangible_Assets_(except_Copyrighted_Works),Employment_Machinery_Manufacturing,Employment_Management_of_Companies_and_Enterprises,Employment_Manufacturing,"Employment_Merchant_Wholesalers,_Durable_Goods","Employment_Merchant_Wholesalers,_Nondurable_Goods",Employment_Mining_(except_Oil_and_Gas),"Employment_Mining,_Quarrying,_and_Oil_and_Gas_Extraction",Employment_Miscellaneous_Manufacturing,Employment_Miscellaneous_Store_Retailers,Employment_Motion_Picture_and_Sound_Recording_Industries,Employment_Motor_Vehicle_and_Parts_Dealers,"Employment_Museums,_Historical_Sites,_and_Similar_Institutions",Employment_Nonmetallic_Mineral_Product_Manufacturing,Employment_Nonstore_Retailers,Employment_Nursing_and_Residential_Care_Facilities,Employment_Other_Information_Services,Employment_Other_Services_(except_Public_Administration),Employment_Paper_Manufacturing,"Employment_Performing_Arts,_Spectator_Sports,_and_Related_Industries",Employment_Personal_and_Laundry_Services,Employment_Petroleum_and_Coal_Products_Manufacturing,Employment_Pipeline_Transportation,Employment_Plastics_and_Rubber_Products_Manufacturing,Employment_Primary_Metal_Manufacturing,Employment_Printing_and_Related_Support_Activities,"Employment_Professional,_Scientific,_and_Technical_Services",Employment_Publishing_Industries_(except_Internet),Employment_Real_Estate,Employment_Real_Estate_and_Rental_and_Leasing,"Employment_Religious,_Grantmaking,_Civic,_Professional,_and_Similar_Organizations",Employment_Rental_and_Leasing_Services,Employment_Repair_and_Maintenance,Employment_Retail_Trade,Employment_Scenic_and_Sightseeing_Transportation,"Employment_Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities",Employment_Social_Assistance,Employment_Specialty_Trade_Contractors,"Employment_Sporting_Goods,_Hobby,_Musical_Instrument,_and_Book_Stores",Employment_Support_Activities_for_Agriculture_and_Forestry,Employment_Support_Activities_for_Mining,Employment_Support_Activities_for_Transportation,Employment_Telecommunications,Employment_Textile_Mills,Employment_Textile_Product_Mills,Employment_Total,Employment_Transit_and_Ground_Passenger_Transportation,Employment_Transportation_Equipment_Manufacturing,Employment_Transportation_and_Warehousing,Employment_Truck_Transportation,Employment_Utilities,Employment_Warehousing_and_Storage,Employment_Waste_Management_and_Remediation_Services,Employment_Water_Transportation,Employment_Wholesale_Electronic_Markets_and_Agents_and_Brokers,Employment_Wholesale_Trade,Employment_Wood_Product_Manufacturing
53,Louisa County,"35,682","4,209",11.80%,758588,54422,98762,77026,976635,397,-956,92935,1634283,82489,43618,1634680,310982,298721,359324,37477,4443,81533,137275,14882,10439,539780,2019,59.0,626.0,202.0,202.0,18.0,,139.0,37.0,,49.0,,,283.0,,,,647.0,149.0,,84.0,,12.0,,,101.0,112.0,,,567.0,265.0,18.0,,,,240.0,311.0,340.0,56.0,76.0,,,11.0,26.0,,293.0,,1338.0,51.0,143.0,,,,46.0,,54.0,12.0,,2.0,150.0,,418.0,,,57.0,,,568.0,,,336.0,,106.0,107.0,298.0,,63.0,1273.0,,,51.0,422.0,2.0,,,8.0,5.0,,,7582.0,,,1120.0,244.0,1798.0,,,,,194.0,214.0
54,Lunenburg County,"11,304","1,856",16.40%,143073,13028,22044,14924,190458,-2189,-4015,20490,405130,10643,32890,402941,67875,76028,136455,12251,1184,6628,29506,4002,2818,106939,2019,,59.0,52.0,58.0,38.0,,81.0,,,,,,,,,,124.0,49.0,,,,,,,,57.0,,,59.0,148.0,37.0,,,,34.0,,249.0,,,,,,9.0,,,,577.0,61.0,72.0,,,,9.0,,36.0,,,13.0,,,56.0,,,13.0,,,,,,68.0,,5.0,5.0,33.0,,10.0,289.0,,,103.0,70.0,,,,,,,,1747.0,,,51.0,41.0,,,,,,133.0,
55,Madison County,"12,994",852,6.60%,201605,16254,22941,19244,374548,-2098,-4745,25876,644261,42397,48601,642163,198819,143545,124070,13213,2459,37652,32563,5826,3367,131390,2019,50.0,212.0,36.0,39.0,28.0,,35.0,,,6.0,88.0,,491.0,,,,224.0,44.0,,,,602.0,,,,23.0,,14.0,162.0,142.0,17.0,,20.0,27.0,65.0,,228.0,,,,,,7.0,,,,281.0,36.0,,,,,24.0,,51.0,,,24.0,132.0,,111.0,,,22.0,,,,,,156.0,,11.0,11.0,44.0,,45.0,847.0,,,61.0,158.0,,11.0,,,,,,2507.0,,,38.0,17.0,,,,,18.0,71.0,
56,Mathews County,"8,697",990,11.40%,104828,10582,11379,8540,243016,1149,1099,14852,495688,29848,56574,496837,153040,139105,114716,8782,1266,30947,15649,3046,1780,58232,2019,5.0,169.0,43.0,62.0,,,49.0,64.0,,64.0,,,43.0,,,,104.0,56.0,,,,,,,,14.0,,,164.0,70.0,,,,,35.0,,213.0,,21.0,,,,,,,,48.0,,,,,,23.0,,,,,,149.0,,143.0,,,35.0,,,,,,76.0,,18.0,18.0,74.0,,34.0,209.0,,,15.0,27.0,,,,,,,,1144.0,,,10.0,7.0,,,,,,39.0,
57,Mecklenburg County,"29,624","5,627",19.00%,607339,49047,79487,65884,538513,-4997,-9670,81989,1149157,44601,37241,1144160,13163,215422,390225,30723,3057,34931,112429,15401,12344,459979,2019,181.0,1220.0,349.0,349.0,106.0,,474.0,65.0,,78.0,,,240.0,,84.0,14.0,383.0,62.0,,176.0,,102.0,,8.0,126.0,244.0,,,1039.0,361.0,91.0,,47.0,,359.0,376.0,1841.0,89.0,90.0,,,269.0,62.0,,,,1059.0,149.0,152.0,,,,69.0,,221.0,,158.0,79.0,374.0,,500.0,,9.0,204.0,,,,,32.0,574.0,176.0,48.0,131.0,186.0,83.0,110.0,1936.0,,,267.0,231.0,,,,,29.0,,159.0,9176.0,26.0,,306.0,117.0,176.0,147.0,,,,301.0,194.0
58,Middlesex County,"10,314","1,036",10.00%,205691,17311,27687,19118,244102,1150,111,26870,556824,30647,52833,557974,65281,167275,146597,10561,1660,30758,37246,5314,3654,137687,2019,,308.0,68.0,71.0,14.0,,63.0,78.0,,93.0,,,95.0,,22.0,,181.0,76.0,,37.0,,,,,,59.0,,,267.0,134.0,,,,,68.0,,367.0,,21.0,,,112.0,22.0,,,,126.0,37.0,66.0,,,,7.0,,40.0,,,,122.0,,172.0,,7.0,25.0,,,,,,172.0,30.0,29.0,29.0,49.0,,98.0,421.0,,,182.0,84.0,,,,,,,18.0,2190.0,,,37.0,,,,,33.0,,110.0,64.0
59,Montgomery County,"88,778","20,897",23.50%,3439979,207282,544742,356718,2653188,4308,1456,385641,4368019,205088,37377,4372327,-401150,959177,759962,116979,10914,206544,723101,64863,53949,2510334,2019,510.0,4860.0,851.0,945.0,9.0,,1587.0,271.0,,386.0,42.0,,474.0,899.0,475.0,1009.0,1305.0,678.0,43.0,554.0,265.0,2080.0,1432.0,107.0,,787.0,,24.0,4350.0,1045.0,,,134.0,,245.0,691.0,4436.0,225.0,87.0,,,799.0,109.0,,44.0,70.0,5529.0,402.0,307.0,,60.0,,324.0,38.0,753.0,9.0,431.0,31.0,773.0,,1381.0,,106.0,350.0,,,,,8.0,4136.0,124.0,462.0,546.0,658.0,81.0,373.0,4944.0,,124.0,657.0,540.0,440.0,9.0,,,311.0,,,30444.0,36.0,,544.0,137.0,,312.0,94.0,,27.0,736.0,123.0
60,Nelson County,"14,693","1,909",13.00%,259997,21973,30464,23274,376267,2776,164,33610,773522,55075,52216,776298,149880,211752,188279,14867,2407,55239,42101,6689,4282,162657,2019,819.0,1162.0,129.0,129.0,57.0,,146.0,8.0,,30.0,285.0,,8.0,,,,207.0,75.0,,28.0,,62.0,,,,35.0,,190.0,343.0,116.0,56.0,,,24.0,74.0,26.0,213.0,,18.0,,,44.0,7.0,,,,654.0,,,,,,,,21.0,13.0,,53.0,35.0,,285.0,,9.0,26.0,,,,,,400.0,,12.0,15.0,237.0,,22.0,342.0,,,32.0,114.0,18.0,,,,43.0,,,3529.0,,,35.0,30.0,,,,,,4.0,48.0
61,New Kent County,"21,084","1,457",6.90%,344016,26625,38821,33246,1264764,-2488,-2687,43248,1714138,62093,74471,1711650,963996,239852,207034,22984,3298,59406,55444,8583,5285,229166,2019,29.0,398.0,123.0,550.0,27.0,,74.0,83.0,,173.0,,,,,,,419.0,49.0,,36.0,,44.0,,,,41.0,,,369.0,276.0,27.0,,,,140.0,,597.0,,102.0,,,22.0,,,,,186.0,39.0,,,,,,,41.0,,,53.0,,,201.0,,90.0,31.0,,,,,,266.0,,22.0,22.0,111.0,,59.0,623.0,,,175.0,268.0,,,,16.0,,,,3552.0,34.0,,76.0,24.0,,,427.0,,,53.0,149.0
62,Northampton County,"11,529","2,079",18.00%,253591,17284,28481,22834,356693,49477,38728,28701,610611,24414,55940,660088,131803,133746,169649,11800,1867,63142,39898,6370,4503,150551,2019,89.0,496.0,41.0,48.0,200.0,,154.0,,,100.0,,,45.0,,18.0,,80.0,18.0,,44.0,,130.0,,,,68.0,192.0,,407.0,164.0,,,,,149.0,,721.0,70.0,,,,12.0,22.0,,,,301.0,,107.0,,,,20.0,,15.0,,260.0,14.0,195.0,,120.0,,,24.0,,,,,,152.0,,21.0,30.0,66.0,,30.0,562.0,,,73.0,56.0,4.0,8.0,,,11.0,,,2995.0,,,,,,,,,,113.0,
63,Northumberland County,"12,143","1,776",14.60%,205444,19058,23339,20620,266557,2904,2112,29368,652150,26402,54276,655054,90481,208653,179844,12069,1646,28514,33649,4491,2845,143281,2019,6.0,120.0,62.0,65.0,18.0,,140.0,95.0,,97.0,,,70.0,,,,187.0,53.0,,42.0,,,,,10.0,52.0,12.0,236.0,114.0,119.0,,,,,48.0,,147.0,,37.0,,,,10.0,,,,326.0,,42.0,,,,7.0,,19.0,,,11.0,,,142.0,,,3.0,,,,,,142.0,,60.0,60.0,82.0,,57.0,334.0,,,,97.0,,,,,,,,1707.0,,,23.0,17.0,,,,,,49.0,
64,Nottoway County,"13,754","2,519",18.30%,343598,24007,62978,38910,248330,8792,6821,43462,530191,7181,35445,538983,-51806,99136,191517,15206,1393,14002,82433,7586,6193,247163,2019,17.0,295.0,10.0,10.0,24.0,,203.0,3.0,,3.0,,,39.0,,,,131.0,9.0,,86.0,,,,,,99.0,,,278.0,90.0,24.0,,22.0,,120.0,204.0,1012.0,22.0,,,,26.0,13.0,,,,459.0,75.0,27.0,,,,40.0,,90.0,,,,273.0,,161.0,,,21.0,,,,,,196.0,,15.0,16.0,94.0,,46.0,665.0,,,76.0,122.0,,,,,,,,3355.0,,,25.0,19.0,,,,,,102.0,201.0
65,Orange County,"35,171","2,873",8.20%,640100,47744,76722,62166,1117928,26441,17111,78827,1842280,80962,50587,1868721,556655,377255,373538,36941,4409,98073,107805,15082,10673,434222,2019,90.0,799.0,292.0,292.0,72.0,,208.0,38.0,,159.0,,,238.0,,13.0,,542.0,195.0,,108.0,,102.0,,,,139.0,,,709.0,336.0,20.0,,31.0,4.0,199.0,273.0,391.0,68.0,64.0,,,39.0,25.0,,,,1514.0,155.0,73.0,,,,38.0,,166.0,119.0,,29.0,159.0,,530.0,,,71.0,,,,,,442.0,,38.0,44.0,299.0,,160.0,1396.0,,6.0,24.0,283.0,5.0,49.0,,60.0,17.0,,,6930.0,5.0,,476.0,119.0,,,,,,232.0,614.0
66,Page County,"23,538","3,553",15.10%,338311,28020,43466,35548,512494,21384,18869,45794,913180,35701,39043,934564,219977,162580,259490,23937,2587,54570,61240,8749,6162,222501,2019,289.0,705.0,165.0,188.0,3.0,,70.0,9.0,,160.0,,,68.0,,,,283.0,30.0,,95.0,,,,,65.0,121.0,,,416.0,219.0,,,,,60.0,242.0,552.0,,,,,30.0,17.0,,,,518.0,,,,,,26.0,,103.0,,,25.0,181.0,,176.0,,,27.0,,,,,,814.0,,16.0,16.0,103.0,,46.0,810.0,,9.0,72.0,221.0,6.0,,,,,,,4315.0,,,217.0,28.0,,,,,,41.0,420.0
67,Patrick County,"17,341","2,467",14.20%,230975,21158,32344,23338,282987,2908,1294,32827,586915,26646,33528,589823,84839,96833,210003,17592,2061,27940,44013,6960,4899,159022,2019,,154.0,1224.0,1236.0,259.0,,144.0,,,13.0,,,22.0,,,,110.0,39.0,,49.0,,,,,183.0,82.0,,,154.0,56.0,11.0,,,,144.0,164.0,498.0,,31.0,,,50.0,30.0,,,,1243.0,9.0,39.0,,,,23.0,,21.0,,,11.0,313.0,,82.0,,,23.0,,,,,,130.0,,5.0,5.0,37.0,,22.0,469.0,,,41.0,40.0,,,,,,,,4445.0,,,122.0,117.0,,,12.0,,,48.0,360.0
68,Pittsylvania County,"60,029","9,656",16.10%,2110008,161860,271942,229704,1955473,10096,2706,276712,3820896,121119,38117,3830992,122177,559895,1315624,100506,9350,123825,386794,49555,40205,1599389,2019,12.0,519.0,294.0,391.0,57.0,,436.0,36.0,,49.0,9.0,,49.0,183.0,,,1121.0,255.0,,80.0,,568.0,,,6.0,151.0,,,507.0,302.0,48.0,,,530.0,138.0,122.0,1063.0,67.0,299.0,,6.0,49.0,67.0,,,,1647.0,174.0,592.0,3.0,7.0,,64.0,,147.0,,,87.0,378.0,,628.0,,11.0,74.0,,,,,,356.0,,38.0,89.0,368.0,51.0,186.0,1004.0,,,249.0,567.0,16.0,1.0,,3.0,29.0,,,8454.0,62.0,,352.0,246.0,110.0,,97.0,,,783.0,330.0
69,Powhatan County,"26,210","1,405",5.40%,521025,38801,58623,49416,1163750,1094,403,63509,1742865,82538,58652,1743959,706234,329051,251158,29734,4107,82941,83331,12434,8327,354753,2019,,638.0,405.0,411.0,,,171.0,110.0,,118.0,,,129.0,,,,1464.0,224.0,,71.0,,104.0,,,61.0,121.0,,,634.0,190.0,,,17.0,,125.0,233.0,232.0,,194.0,,,,39.0,,,,131.0,185.0,14.0,,,18.0,,,82.0,,9.0,151.0,11.0,,470.0,,8.0,78.0,,,,,,800.0,,57.0,60.0,214.0,,178.0,1010.0,,11.0,50.0,1046.0,,,,,,,,5599.0,,,145.0,142.0,,,6.0,,30.0,229.0,
70,Prince Edward County,"17,491","3,248",18.60%,526704,36020,76279,57612,371319,2526,1647,64826,719290,26405,31621,721816,-90559,125965,224532,22827,2012,28052,105085,12356,10344,393567,2019,125.0,1193.0,388.0,392.0,58.0,,757.0,112.0,,114.0,,,240.0,,47.0,,240.0,29.0,,99.0,,1216.0,,,,148.0,,,1068.0,135.0,58.0,,126.0,29.0,117.0,349.0,2009.0,69.0,4.0,,,121.0,39.0,,,178.0,101.0,117.0,20.0,,,,55.0,,171.0,,,,543.0,,284.0,,2.0,98.0,,,,,,416.0,,57.0,121.0,116.0,64.0,70.0,1364.0,,,208.0,207.0,13.0,,,11.0,46.0,,,7367.0,,,144.0,121.0,,,,,,143.0,31.0
71,Prince George County,"33,995","2,765",8.10%,2565215,137891,476390,307248,1397517,-1985,-2383,291515,2373513,93882,38845,2371528,-876183,395557,578454,61051,4531,91499,630014,36808,32277,1843702,2019,123.0,901.0,355.0,394.0,,,310.0,106.0,,108.0,,,200.0,,16.0,,442.0,29.0,,126.0,,120.0,,12.0,121.0,143.0,,478.0,778.0,120.0,,,,17.0,235.0,66.0,462.0,28.0,46.0,,,31.0,14.0,,,,1479.0,495.0,207.0,,,,18.0,,324.0,,,41.0,73.0,,239.0,,,69.0,,,,,,2076.0,,110.0,131.0,85.0,,85.0,1063.0,,,79.0,367.0,,,,184.0,,,,8308.0,,,1066.0,278.0,,,39.0,,,706.0,21.0
72,Prince William County,"455,747","30,294",6.60%,13821530,825234,1623688,1448030,22065067,-238,-2752,1549249,29818310,1522363,56181,29818072,9792786,4640361,3112644,530752,73304,1519611,2347703,254845,181541,9954216,2019,1050.0,15154.0,5918.0,6482.0,28.0,,6544.0,2157.0,,2285.0,99.0,,1668.0,,3411.0,2326.0,15134.0,1691.0,147.0,1452.0,191.0,3616.0,,576.0,164.0,2150.0,,119.0,14104.0,4333.0,,,1078.0,97.0,1128.0,4419.0,12102.0,1060.0,2128.0,,28.0,1213.0,610.0,,172.0,1760.0,3913.0,1985.0,1580.0,65.0,65.0,191.0,1831.0,142.0,2863.0,16.0,316.0,361.0,2272.0,4.0,6005.0,,112.0,2056.0,,,,,109.0,23712.0,140.0,1274.0,1718.0,2400.0,413.0,1549.0,23386.0,,88.0,2134.0,11315.0,658.0,20.0,,167.0,735.0,,,110456.0,422.0,,2047.0,1186.0,1212.0,106.0,564.0,,31.0,3596.0,85.0
73,Pulaski County,"32,922","4,862",14.80%,867140,62265,115290,102898,759564,1159,-139,113714,1360063,41701,40025,1361222,6138,200562,401096,34009,2817,41562,166739,18103,15286,658839,2019,130.0,1017.0,205.0,210.0,31.0,,455.0,83.0,,92.0,,,236.0,139.0,16.0,,270.0,44.0,,120.0,,12.0,,,125.0,150.0,,,887.0,331.0,,,,,148.0,621.0,1301.0,107.0,45.0,,,55.0,24.0,,,,5357.0,89.0,117.0,,,,66.0,,184.0,,353.0,14.0,372.0,,431.0,,,103.0,,,217.0,,,280.0,,37.0,74.0,245.0,37.0,83.0,1749.0,,6.0,273.0,181.0,,,,82.0,33.0,,,11654.0,,4140.0,485.0,144.0,,86.0,5.0,,28.0,234.0,
74,Rappahannock County,"7,337",642,8.80%,130403,10660,10746,9270,256095,-1899,-3547,15295,504005,52392,68110,502106,140987,173467,72544,7372,1787,48845,15381,3488,1701,66177,2019,181.0,273.0,47.0,47.0,13.0,,18.0,,,6.0,59.0,,,,,,118.0,28.0,,,,124.0,,,,12.0,,,92.0,30.0,,,,,30.0,,66.0,,,,,33.0,,,,,72.0,15.0,,,,,13.0,,16.0,,,,,,59.0,,,8.0,,,,,,132.0,26.0,12.0,12.0,43.0,,8.0,130.0,,,48.0,90.0,,13.0,,,,,,1098.0,,,,,,,,,,20.0,
75,Richmond County,"7,268","1,254",17.30%,178841,12785,28400,18352,175658,2784,737,21961,333176,10867,37057,335960,18778,71602,88700,9066,967,11604,37576,4170,3203,129661,2019,,131.0,93.0,116.0,,,54.0,,,39.0,,,26.0,,,,133.0,9.0,,32.0,,,,,,42.0,,,120.0,73.0,,,,,23.0,25.0,685.0,,60.0,,,,,,,,161.0,9.0,89.0,,,,19.0,,29.0,,,,,,116.0,,,,,,,,,56.0,,3.0,8.0,35.0,,77.0,251.0,,,469.0,64.0,,,,,,,,2019.0,,,74.0,,,,,,,99.0,130.0
76,Roanoke County,"91,510","6,335",6.90%,4087174,272427,494005,428860,3819250,31,-698,486857,6232127,362532,52094,6232158,218933,1206467,1206441,119632,13039,361834,708435,76160,63121,3016905,2019,265.0,3317.0,1786.0,1797.0,,,2134.0,396.0,,418.0,,,421.0,,352.0,731.0,1061.0,257.0,,2617.0,,2194.0,323.0,73.0,449.0,4095.0,,,3052.0,1118.0,,,81.0,,189.0,426.0,4350.0,215.0,62.0,,3.0,505.0,1402.0,,105.0,1460.0,2858.0,655.0,464.0,,,46.0,254.0,,510.0,,149.0,246.0,1273.0,,1434.0,280.0,6.0,423.0,,,369.0,,36.0,2736.0,42.0,365.0,453.0,718.0,81.0,293.0,4049.0,,76.0,610.0,742.0,164.0,,,53.0,236.0,,,29390.0,,,615.0,534.0,,,11.0,,25.0,1144.0,
77,Rockbridge County,"22,334","3,167",14.20%,814783,59193,107302,88344,747773,802,-1136,103365,1496780,81745,41029,1497582,36355,382203,367606,36501,4463,80609,151474,19605,15142,582700,2019,379.0,880.0,57.0,83.0,18.0,,141.0,,,111.0,,,190.0,,32.0,,405.0,94.0,,79.0,,,,,48.0,92.0,,,501.0,101.0,18.0,,,,658.0,308.0,417.0,,119.0,,,36.0,9.0,,,,804.0,60.0,13.0,,,,36.0,,30.0,59.0,,44.0,222.0,,224.0,,47.0,10.0,,,,,,218.0,,24.0,33.0,111.0,,103.0,1420.0,,,,192.0,,,,,16.0,,,4994.0,,,88.0,37.0,,,,,,82.0,139.0
78,Rockingham County,"78,360","6,895",8.80%,4385580,269136,521585,438542,3465586,119739,101771,488407,5356952,445553,40413,5476691,-431587,1004398,1006707,135519,16410,547324,740856,87230,70820,3097400,2019,1216.0,2642.0,1246.0,1310.0,7.0,,1151.0,156.0,,174.0,583.0,,205.0,,18.0,,2742.0,565.0,,353.0,,1732.0,,15.0,305.0,446.0,,4200.0,1426.0,399.0,,,30.0,21.0,275.0,345.0,3993.0,146.0,37.0,,,36.0,53.0,,31.0,746.0,7672.0,464.0,724.0,,,31.0,93.0,,284.0,6.0,69.0,25.0,1011.0,,1089.0,,12.0,104.0,,,,,1319.0,1186.0,,568.0,580.0,636.0,12.0,349.0,1898.0,,40.0,464.0,2140.0,63.0,4.0,,44.0,5.0,,,28951.0,,,3182.0,332.0,244.0,2084.0,64.0,,,1191.0,163.0
79,Russell County,"26,862","5,677",21.10%,425120,37448,56140,48654,428911,-569,-2261,61775,896674,20852,33513,896105,65566,123719,343475,26739,2369,18591,80467,9875,7506,326062,2019,,464.0,44.0,46.0,9.0,,772.0,,,,,,45.0,,,,765.0,31.0,,173.0,,52.0,,,484.0,210.0,,,463.0,172.0,9.0,,19.0,,134.0,297.0,1154.0,78.0,447.0,,,369.0,33.0,,,62.0,699.0,15.0,8.0,120.0,143.0,,22.0,,158.0,,,23.0,168.0,,188.0,,,79.0,,,,,,1520.0,,25.0,37.0,80.0,12.0,29.0,958.0,,,44.0,287.0,,,,21.0,354.0,,,6136.0,,,194.0,155.0,,,,,,23.0,
80,Scott County,"20,974","3,254",15.50%,272370,26538,38727,29178,348453,-2390,-2995,41127,724165,25367,33450,721775,117210,107119,266203,21578,2378,22372,53316,7969,5591,196682,2019,,428.0,338.0,338.0,37.0,,289.0,,,15.0,,,21.0,,,,78.0,32.0,,74.0,,,,,,85.0,,,428.0,301.0,37.0,,,,133.0,49.0,694.0,53.0,,,,62.0,11.0,,,,1000.0,,,,,,8.0,,26.0,,,7.0,315.0,,170.0,,,49.0,,,,,,258.0,,9.0,9.0,40.0,,81.0,610.0,,,90.0,43.0,,,,,,,,3784.0,,,84.0,81.0,,,,,,43.0,
81,Shenandoah County,"42,697","4,919",11.50%,899251,66129,107919,89538,1203925,11638,8326,110898,2006486,117591,46333,2018124,415572,370600,443599,43557,5494,125917,152688,20822,15328,620646,2019,247.0,1476.0,660.0,666.0,11.0,,238.0,225.0,,254.0,67.0,,243.0,,23.0,,615.0,156.0,,168.0,,244.0,,,30.0,249.0,,1665.0,1229.0,297.0,3.0,,18.0,294.0,365.0,278.0,1475.0,87.0,154.0,,,374.0,56.0,,,,3421.0,39.0,510.0,,,,102.0,,185.0,,181.0,58.0,586.0,,619.0,,12.0,77.0,,,,,462.0,1016.0,73.0,82.0,93.0,381.0,,161.0,1676.0,,25.0,239.0,305.0,15.0,,,28.0,296.0,,,12650.0,,,458.0,316.0,112.0,,,,,549.0,29.0
82,Smyth County,"29,961","5,654",18.90%,663595,50720,100221,72720,566765,-3531,-5153,87080,1114214,33448,36800,1110683,-9750,166201,377717,30182,2798,28295,136581,15838,13040,498719,2019,74.0,706.0,491.0,509.0,,,456.0,45.0,,51.0,,,68.0,,31.0,,383.0,65.0,,155.0,,26.0,,,93.0,181.0,,,632.0,462.0,,,26.0,,128.0,258.0,1919.0,131.0,256.0,,,95.0,23.0,,109.0,,3271.0,157.0,28.0,,,,18.0,,116.0,,,17.0,313.0,,301.0,,,82.0,,,643.0,,,278.0,38.0,9.0,22.0,143.0,13.0,76.0,1267.0,,,186.0,62.0,,,,11.0,22.0,,,9280.0,,1928.0,217.0,137.0,,,,,,187.0,215.0
83,Southampton County,"16,384","1,473",9.00%,445966,33079,65737,44344,591903,22538,18682,55251,1092048,24602,43430,1114586,201188,212952,309731,25664,2500,43284,87909,11172,8672,314773,2019,28.0,98.0,30.0,38.0,82.0,,40.0,,,34.0,,,13.0,231.0,,,91.0,20.0,,16.0,,,,,,16.0,,114.0,70.0,85.0,58.0,,,,104.0,,169.0,,,,,53.0,,,,,575.0,21.0,200.0,,,,55.0,,,,,,,,174.0,,,17.0,,,,,,100.0,,14.0,14.0,92.0,,65.0,306.0,,,,67.0,,24.0,,,,,,2140.0,,,124.0,109.0,,,,,,222.0,160.0
84,Spotsylvania County,"132,006","9,198",7.00%,4121624,266832,453936,426326,5773418,2942,1573,479995,8596224,427286,51896,8599166,2131789,1496004,1329744,165701,19484,428859,667099,84803,65319,3025666,2019,247.0,4419.0,1971.0,2018.0,22.0,,2164.0,713.0,,766.0,9.0,,637.0,,725.0,85.0,2319.0,388.0,228.0,397.0,73.0,1036.0,,176.0,105.0,545.0,,,4172.0,1121.0,,,372.0,187.0,460.0,1542.0,4444.0,434.0,503.0,,1.0,461.0,142.0,,,1008.0,1105.0,517.0,961.0,,,,195.0,74.0,1812.0,,99.0,167.0,696.0,107.0,1695.0,,51.0,492.0,,,175.0,,29.0,4860.0,,599.0,703.0,702.0,104.0,501.0,7880.0,,6.0,1171.0,1428.0,239.0,,,135.0,180.0,,,33029.0,20.0,,1486.0,597.0,,499.0,47.0,,54.0,1532.0,245.0
