,GeoName,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries,year
72,"Patrick, VA",137603,8691,17026,14004,186513,3063,1815,15693,271638,15225,15356,274701,64603,38364,49824,17889,1836,17040,24028,7542,5706,96535,1993
73,"Pittsylvania + Danville, VA*",1269273,78124,152093,136868,1205068,17614,11600,146558,1825697,88642,16756,1843311,82353,309105,329138,110008,7490,100242,220527,53171,45681,948504,1993
74,"Portsmouth (Independent City), VA",1747093,85085,282801,190600,1119315,0,0,180385,1852041,39664,17648,1852041,-447393,404586,328140,104941,3921,39664,378101,55121,51200,1329328,1993
75,"Powhatan, VA",116528,7219,15642,10616,241868,956,262,12527,322997,18153,18817,323953,137867,52318,29767,17216,1801,18415,20950,5586,3785,77163,1993
76,"Prince Edward, VA",203176,12646,25716,20722,145375,2767,1769,23007,250980,17450,13827,253747,-34794,53560,54812,18351,1176,19219,36077,9991,8815,147880,1993
77,"Prince George + Hopewell, VA*",904366,46319,135738,104526,674290,-197,-719,98582,972392,30591,18588,972195,-131494,184578,113327,52303,2119,29872,188001,27240,25121,686493,1993
78,"Prince William, Manassas + Manassas Park, VA*",2865566,159886,338658,306962,5033541,348,-403,313367,6416525,213221,23545,6416873,2481342,1096534,286798,272542,19175,212818,492139,108149,88974,2160609,1993
79,"Pulaski, VA",378615,22565,55271,40768,347498,2545,1400,42949,535597,22565,15608,538142,11832,84531,106113,34479,2215,23965,75655,16553,14338,278995,1993
80,"Rappahannock, VA",41589,2852,3671,3134,77487,1598,955,4419,136677,12231,20641,138275,40317,44541,16247,6699,1279,13186,5238,2821,1542,23165,1993
81,"Richmond (Independent City), VA",7019312,394871,911460,761678,2840266,0,0,775710,4978507,323437,24551,4978507,-3403336,1324896,813345,202785,13515,323437,1292299,203217,189702,5403576,1993
82,"Richmond, VA",76746,4752,9778,7892,65434,2355,1371,8698,120192,5590,16511,122547,-2614,29918,27195,7422,638,6961,13724,3519,2881,56061,1993
83,"Roanoke (Independent City), VA",2376851,142716,276036,289634,1119293,0,0,287533,1875817,92364,19132,1875817,-970025,372769,383755,98048,5372,92364,420853,85314,79942,1863634,1993
84,"Roanoke + Salem, VA*",1702764,98923,198524,178172,1815791,3369,2163,188009,2574702,190364,24426,2578071,301036,518548,243732,105548,8931,192527,287610,59916,50985,1222627,1993
85,"Rockbridge, Buena Vista + Lexington, VA*",324313,20223,39115,33580,305176,1516,416,37013,520133,25912,16013,521649,17876,124065,92408,32577,2919,26328,55905,15541,12622,242080,1993
86,"Rockingham + Harrisonburg, VA*",1453145,79887,173947,143708,1215617,92932,79065,151741,1651430,107874,18298,1744362,-85787,326995,201750,95333,9523,186939,245801,58861,49338,1020405,1993
87,"Russell, VA",222447,14155,28086,23762,246495,5488,4601,26036,400734,23378,13825,406222,50084,53022,106705,29383,2854,27979,39967,10792,7938,154501,1993
88,"Scott, VA",116104,8327,15178,11606,197585,3839,3104,14130,325976,9848,13973,329815,95611,50569,81661,23604,2823,12952,20981,7543,4720,82171,1993
89,"Shenandoah, VA",385655,22976,45341,37320,386005,16648,13411,41636,573860,43844,18143,590508,41986,121782,82721,32548,3805,57255,64001,17618,13813,264399,1993
90,"Smyth, VA",410216,24500,59185,42512,344379,4571,3553,45756,524415,34035,16028,528986,-20081,81953,102654,33004,3127,37588,80441,18415,15288,292187,1993
91,"Southampton + Franklin, VA*",216713,13108,26773,20928,288816,18041,14377,23572,440197,12847,17833,458238,95675,85569,83853,25696,1582,27224,37237,10059,8477,152252,1993
92,"Spotsylvania + Fredericksburg, VA*",970232,57403,111028,100252,1296315,640,78,107529,1795522,91789,20560,1796162,433612,328302,171545,87364,7420,91867,161154,42808,35388,717211,1993
93,"Stafford, VA",490335,27887,61126,51682,1181490,687,595,53728,1559824,53602,21620,1560511,744883,298030,80991,72179,4403,54197,86967,20040,15637,349171,1993
94,"Suffolk (Independent City), VA",511481,28912,64219,53704,659205,9304,4813,55764,986404,31409,18693,995708,203488,182425,154078,53267,3082,36222,91071,21518,18436,384188,1993
95,"Surry, VA",117411,6390,15350,12328,69252,5836,4090,12554,105094,2866,17029,110930,-35605,24083,17595,6514,418,6956,21514,2945,2527,88941,1993
96,"Sussex, VA",83509,5454,9727,7920,105645,9720,6888,9414,168509,5278,17497,178229,31550,31720,40864,10186,604,12166,13687,3669,3065,57656,1993
97,"Tazewell, VA",425187,27346,54363,45016,417028,3051,2114,49854,731765,35230,15792,734816,41695,125158,192630,46531,3270,37344,76871,19554,16284,310972,1993
98,Virginia,109727435,6104023,13342244,11845060,104044728,533069,365444,12026553,150440231,7109467,23192,150973300,6343846,32128916,14799656,6509630,507975,7474911,19264774,3730015,3222040,82987750,1993
99,"Virginia Beach (Independent City), VA",4699232,251431,573945,514356,7055896,7394,6001,508609,9966691,418384,23764,9974085,2865273,2296400,621789,419718,27761,424385,831123,192631,164870,3443724,1993
100,"Warren, VA",198834,12806,22819,18964,352396,706,331,22288,511845,29207,18101,512551,175850,95384,64771,28316,2388,29538,32301,9832,7444,136995,1993
101,"Washington + Bristol, VA*",864619,51053,115691,88748,717864,16853,13615,95427,1113214,56841,17082,1130067,-51328,212531,199672,66155,7173,70456,160065,38868,31695,634098,1993
102,"Westmoreland, VA",77734,5567,9681,7078,148058,3471,518,9106,263584,12418,16498,267055,79430,66308,52689,16187,1368,12936,13220,4803,3435,51578,1993
103,"Wise + Norton, VA*",576963,34952,73995,67926,420630,298,214,68915,728936,40279,16618,729234,-87418,102813,205791,43883,2408,40493,107958,20789,18381,428512,1993
104,"Wythe, VA",267546,16546,35262,27092,270673,6702,4788,30092,420055,21248,16306,426757,33219,69753,86331,26171,2672,26036,48808,13654,10982,192702,1993
105,"York + Poquoson, VA*",549356,31122,74956,55466,1035162,961,271,58855,1509645,64974,24910,1510606,544661,383535,91909,60642,4559,65245,102689,21836,17277,381422,1993
0,"Accomack, VA",382995,21998,49370,35760,335446,25234,17330,39878,554370,39308,16767,579604,-7671,130166,113992,34568,2927,56638,67250,16865,13938,259107,1994
1,"Albemarle + Charlottesville, VA*",2430033,141248,306137,242302,1805196,5435,3003,262399,2972342,237040,25851,2977777,-362438,905847,266734,115190,11249,240043,427288,84943,73694,1762702,1994
2,"Alexandria (Independent City), VA",4279836,234256,465764,465518,3044988,0,0,467015,4401787,254264,37713,4401787,-767833,1083574,273225,116717,12241,254264,698523,107665,95424,3327049,1994
3,"Alleghany + Covington, VA*",343985,22141,38762,42378,270178,664,481,43330,434755,21201,17891,435419,-30477,69948,95293,24338,1485,21682,59951,11908,10423,262352,1994
4,"Amelia, VA",71588,4219,6952,5448,125166,10283,8085,6943,167737,13591,18337,178020,60521,27780,25074,9708,1101,21676,9676,3359,2258,40236,1994
5,"Amherst, VA",278713,17302,38355,28016,343427,922,453,31310,493230,19776,16425,494152,96024,77555,73170,30085,2233,20229,52363,12397,10164,206121,1994
6,"Appomattox, VA",111393,7064,14003,10578,154355,1115,622,12353,223678,14579,17565,224793,55315,34755,35683,12798,1391,15201,19292,5699,4308,76900,1994
7,"Arlington, VA",9096218,456870,1138570,1023832,4619972,0,0,968786,6669641,309740,36938,6669641,-3507460,1720492,329177,180563,15805,309740,1650486,196978,181173,7135992,1994
8,"Augusta, Staunton + Waynesboro, VA*",1423446,84463,178685,141246,1323219,35838,30276,155086,1969252,118983,19607,2005090,54859,395002,286869,102263,9540,149259,249308,54075,44535,1024879,1994
9,"Bath, VA",73102,4518,7987,7992,59538,716,539,8514,103387,4112,21220,104103,-5050,26878,17687,4906,480,4651,11983,3082,2602,56468,1994
10,"Bedford, VA*",404433,27387,47471,39248,827788,2609,1376,47011,1199902,51963,20459,1202511,470366,228469,146254,58776,5553,53339,67095,19831,14278,283999,1994
11,"Bland, VA",64401,4040,8864,6200,67038,981,596,7140,99590,7288,14847,100571,9777,13535,19998,6774,996,7884,11964,3141,2145,44553,1994
12,"Botetourt, VA",174661,11625,20650,16178,390501,1783,586,19714,545953,27787,20224,547736,235554,91425,65810,27083,2549,28373,28739,8316,5767,117549,1994
13,"Brunswick, VA",126910,7861,17342,11888,141834,7362,5462,13805,231587,10033,14633,238949,28729,40538,56577,16330,1052,15495,23286,6071,5019,88129,1994
14,"Buchanan, VA",359027,22333,48162,42932,252522,154,138,43799,473582,26707,15648,473736,-62706,84426,136788,30275,1695,26845,69628,12105,10410,262554,1994
15,"Buckingham, VA",100367,6230,12266,8758,128091,6022,5362,10609,202514,15521,14675,208536,38333,41063,39382,14210,1204,20883,16645,4407,3203,62839,1994
16,"Campbell + Lynchburg, VA*",2264046,134446,271982,242718,1485489,4178,2892,255805,2332065,127343,20128,2336243,-522752,450799,399955,116069,8274,130235,393341,82265,73991,1740470,1994
17,"Caroline, VA",128996,8151,17323,11592,255424,2693,2042,13947,368878,18239,18066,371571,140375,61971,54176,20567,1541,20281,23119,6055,4514,85596,1994
18,"Carroll + Galax, VA*",382115,24060,49490,38868,350388,5886,4858,43494,562207,31345,16364,568093,11767,88989,128716,34715,3565,36203,68924,19404,15839,276988,1994
19,"Charles City, VA",32346,2159,4418,2888,79861,859,219,3603,116605,5547,18033,117464,51118,21448,16155,6514,481,5766,5862,1578,1097,20718,1994
20,"Charlotte, VA",85422,5877,9959,7074,105825,5064,3413,9414,176744,16670,14910,181808,29817,33569,42414,12194,1518,20083,13496,4730,3212,51843,1994
21,"Chesapeake (Independent City), VA",1925508,112856,242469,208494,2921358,9928,5082,217103,3889146,112194,21836,3899074,1212953,627662,350054,178560,10506,117276,346716,78332,67826,1461516,1994
22,"Chesterfield, VA",3065721,173832,384230,320378,4551149,2932,1795,334021,5863126,198464,24977,5866058,1819449,952137,362772,234854,14493,200259,544419,107002,92509,2321043,1994
23,"Clarke, VA",114924,7141,11515,10466,153200,3996,1500,12374,240963,16565,20461,244959,50650,66757,25002,11972,1597,18065,16748,5344,3747,80111,1994
24,"Craig, VA",17459,1276,2278,1662,54254,422,238,2107,78303,2967,16822,78725,38902,12645,11826,4680,463,3205,3109,1116,653,11145,1994
25,"Culpeper, VA",348079,21354,41249,33920,413756,3868,890,38314,611673,41347,20732,615541,103991,126438,75347,29691,3250,42237,58209,14082,10832,247633,1994
26,"Cumberland, VA",42066,2288,3700,2680,88497,10353,8990,3628,124817,8558,16410,135170,50059,23356,23317,8237,767,17548,5040,2004,1237,19478,1994
27,"Dickenson, VA",126465,8612,16433,13154,130749,307,278,15189,247861,17641,14161,248168,19473,37643,79776,17525,907,17919,23010,4880,3973,85536,1994
28,"Dinwiddie, Colonial Heights + Petersburg, VA*",892676,54998,120287,92496,944058,7270,5672,101246,1585935,51664,20788,1593205,152628,325960,323187,76642,4243,57336,166535,37899,33656,668805,1994
29,"Essex, VA",103371,6494,12360,10154,98024,2108,1442,11571,169485,10476,18166,171593,6224,40329,33240,9446,847,11918,17437,5155,4308,74016,1994
30,"Fairfax, Fairfax City + Falls Church, VA*",21702575,1222631,2138051,2357148,24398075,1390,531,2401205,33386164,1603276,36702,33387554,5096705,7728923,1260556,909686,90045,1603807,3316625,577059,487014,16782143,1994
31,"Fauquier, VA",520676,30844,58775,48154,949246,7596,2355,54921,1480698,81456,29526,1488294,483491,445692,93356,50406,6563,83811,82852,22533,15970,354013,1994
32,"Floyd, VA",70623,4728,7159,5582,123342,6732,4718,7519,187586,15710,15314,194318,60238,34334,36642,12689,2004,20428,9950,4503,2499,40245,1994
33,"Fluvanna, VA",79954,5712,9257,7172,192003,582,308,9298,302535,13855,20320,303117,121347,69845,41269,14917,1590,14163,12843,4214,2624,52948,1994
34,"Franklin, VA",343182,21271,40366,33816,523133,13322,9705,38179,741869,27444,17723,755191,218130,123899,108159,42610,3268,37149,57274,16235,12967,248759,1994
35,"Frederick + Winchester, VA*",1252711,75272,144776,127760,1065273,5680,1412,139152,1519752,110811,20464,1525432,-48286,296609,163550,74541,7248,112223,208656,47673,40425,931832,1994
36,"Giles, VA",202012,12594,28686,20788,182241,669,525,22988,282140,15665,17287,282809,3217,42723,57845,16360,1446,16190,39080,7479,6033,146742,1994
37,"Gloucester, VA",212601,13774,27145,19328,434124,1852,1469,23438,649148,32181,20265,651000,244961,143168,73708,32125,2837,33650,36809,11285,8448,142142,1994
38,"Goochland, VA",140725,8825,15898,12788,295291,777,275,15219,457248,25504,29381,458025,169785,130003,32731,15589,1914,25779,22292,6240,4326,92654,1994
39,"Grayson, VA",102429,6890,12146,9010,159791,5246,4370,11395,247612,17333,15149,252858,68757,40598,52469,16691,2267,21703,16651,5758,3491,64075,1994
40,"Greene, VA",69401,4668,8486,6196,161707,677,309,7766,221154,13658,17579,221831,100072,36041,24083,12619,1242,13967,11584,3561,2319,43850,1994
41,"Greensville + Emporia, VA*",219870,12907,29238,22140,157736,11580,10528,23977,242225,7191,15087,253805,-38157,42951,53118,16823,750,17719,40308,9016,8266,161843,1994
42,"Halifax, VA",395021,24369,47617,40166,376575,13698,9843,44452,581217,29840,15867,594915,26006,97154,121186,37495,3313,39683,67700,18080,14767,287638,1994
43,"Hampton (Independent City), VA",2283736,116879,339706,258032,1855766,0,0,245895,2810478,59771,19681,2810478,-182075,612217,342495,142802,6466,59771,468722,76152,69686,1755243,1994
44,"Hanover, VA",1042111,62527,114221,105854,1296315,8624,6114,115454,1727454,99562,24305,1736078,369658,287833,151930,71430,6941,105676,167148,40197,33256,769287,1994
45,"Henrico, VA",4717958,276434,502710,512692,4454156,3375,2485,532780,6384012,216164,26879,6387387,268978,1387918,545313,237635,15506,218649,759056,153660,138154,3740253,1994
46,"Henry + Martinsville, VA*",1091173,66762,134398,118014,869056,2680,2264,125769,1386644,64010,18815,1389324,-96348,285222,235046,73841,4987,66274,193405,46329,41342,831494,1994
47,"Highland, VA",20013,1222,1984,1310,25653,3303,2985,1877,45675,4696,19162,48978,7517,15090,8235,2556,697,7681,2639,1373,676,9693,1994
48,"Isle of Wight, VA",398954,23109,46993,40368,399738,10670,8094,43293,551411,20472,20884,562081,44077,90981,71362,26914,1867,28566,67177,13246,11379,303211,1994
49,"James City + Williamsburg, VA*",962618,56701,111887,102918,789423,913,653,108160,1261450,61187,24443,1262363,-65035,339659,133281,51645,4549,61840,163346,39910,35361,737432,1994
50,"King George, VA",371753,17351,57338,39506,244750,1394,974,37104,350706,16295,22908,352100,-89899,81421,25929,15370,1345,17269,77091,10188,8843,277393,1994
51,"King William, VA",142289,8674,15276,14484,186357,3851,3045,15916,259458,8851,21917,263309,59984,46274,30678,12014,965,11896,22518,5012,4047,107875,1994
52,"King and Queen, VA",36031,2476,4493,2896,77759,3311,2782,3924,114241,7344,18419,117552,45652,21818,17975,6382,580,10126,5941,1710,1130,19964,1994
53,"Lancaster, VA",115033,8078,12620,11012,99950,1177,1019,13584,273726,12852,24644,274903,-1499,121290,53663,11155,1298,13871,18126,5805,4507,83036,1994
54,"Lee, VA",147461,10264,20309,14892,184124,2950,2223,17710,338460,13966,14057,341410,54373,47702,109584,24288,2558,16189,27755,8233,5675,103517,1994
55,"Loudoun, VA",1928211,108188,217761,199434,2553330,5714,1791,207905,3312825,112686,30520,3318539,833024,630038,135171,108732,11057,114477,317478,62365,51308,1496256,1994
56,"Louisa, VA",226189,14304,26258,21070,296691,1272,729,24839,425125,34354,19094,426397,95341,69051,60655,22332,4070,35083,36793,10048,5978,154313,1994
57,"Lunenburg, VA",74986,4810,9867,6746,101642,5506,4039,8183,170146,8906,15000,175652,34839,34699,39311,11710,1036,12945,13240,4228,3192,48801,1994
58,"Madison, VA",73592,4846,7786,6166,121745,3246,1793,7929,198365,15207,16565,201611,56082,49121,30745,12171,1670,17000,10869,4436,2766,45723,1994
59,"Mathews, VA",41515,3326,4491,3302,106014,1053,378,4977,193026,10798,22259,194079,69476,55400,32665,8719,985,11176,6142,2499,1514,24197,1994
60,"Mecklenburg, VA",362163,22266,44335,37118,317818,11935,7373,40825,515074,26536,17122,527009,-3520,104521,104670,30779,2671,33909,62894,18044,15373,265360,1994
61,"Middlesex, VA",68645,4849,8537,5954,98877,1638,1171,7826,189847,11871,20820,191485,38058,57218,35390,9197,965,13042,11514,3571,2606,44089,1994
62,"Montgomery + Radford, VA*",1236668,70771,184042,127172,996319,3624,2417,134357,1471918,66987,15680,1475542,-105992,301417,177806,94105,5905,69404,247628,48698,42793,919636,1994
63,"Nelson, VA",84827,6103,9278,7598,147486,1126,176,9902,244200,15604,18448,245326,72561,53329,44511,13298,1527,15780,13077,4831,3304,55970,1994
64,"New Kent, VA",62441,4287,6864,5342,182758,1056,839,6958,249586,12555,22031,250642,127275,43002,24882,11377,1077,13394,9535,3100,2023,39512,1994
65,"Newport News (Independent City), VA",3356452,182307,481197,394232,2298666,0,0,379423,3436746,106139,19159,3436746,-678363,697276,440804,179384,8450,106139,678313,108114,99664,2572000,1994
66,"Norfolk (Independent City), VA",7872350,393505,1151491,937150,2784601,0,0,862080,4864220,183328,19542,4864220,-4225669,1381118,698501,248916,9629,183328,1620066,236032,226403,6068956,1994
67,"Northampton, VA",121241,7365,13953,10694,111259,15165,11065,12712,198987,11816,16346,214152,2730,52645,50248,13101,1178,22881,19300,5774,4596,79060,1994
68,"Northumberland, VA",78936,5677,8838,6394,99626,2593,2200,8874,220249,18202,19714,222842,29564,79787,43429,11304,1359,20402,12035,3903,2544,46499,1994
69,"Nottoway, VA",164793,10111,23710,19150,141723,5733,4499,19686,252008,11157,16675,257741,-3384,51742,64276,15457,1306,15656,33285,7304,5998,115852,1994
70,"Orange, VA",218014,14258,25529,21578,269166,4720,2310,25047,448042,24632,19434,452762,76199,110717,72879,23298,2457,26942,36318,10186,7729,154754,1994
71,"Page, VA",197060,11648,21753,18192,243912,20274,19158,20744,353787,20668,16674,374061,67596,65589,64560,22434,2139,39826,30849,9287,7148,126385,1994
72,"Patrick, VA",145169,9318,17784,14532,192945,3482,2221,16584,284962,14725,15964,288444,64360,42562,52937,18068,1912,16946,25050,7689,5777,103173,1994
73,"Pittsylvania + Danville, VA*",1313683,81012,160708,137174,1250950,22925,17256,149599,1893019,91779,17300,1915944,86866,320636,344358,110750,7587,109035,229295,53356,45769,975353,1994
74,"Portsmouth (Independent City), VA",1693950,85905,268301,183402,1119614,0,0,177606,1850521,41863,17686,1850521,-396730,386281,344626,104634,3863,41863,360002,52357,48494,1292085,1994
75,"Powhatan, VA",129283,8028,17122,11602,274454,1912,1277,13829,359156,20115,20125,361068,159000,55475,31139,17941,2092,21392,22923,6109,4017,84968,1994
76,"Prince Edward, VA",216304,13456,27468,21754,156530,3659,2779,24333,263387,18049,14357,267046,-35441,56223,54293,18600,1204,20828,38345,10287,9083,157131,1994
77,"Prince George + Hopewell, VA*",929646,48391,139639,103430,700876,2177,1686,100106,1017746,29742,19418,1019923,-128664,197849,121198,52525,2206,31428,191354,27787,25581,706864,1994
78,"Prince William, Manassas + Manassas Park, VA*",3063235,172104,364325,326298,5268480,1207,377,335253,6779333,230486,24322,6780540,2540498,1199305,312755,278786,20592,230863,527474,113898,93306,2304898,1994
79,"Pulaski, VA",415229,25180,57139,42352,379135,2056,1021,46356,575084,25838,16749,577140,10262,85593,112412,34458,2174,26859,78315,17429,15255,310055,1994
80,"Rappahannock, VA",46085,3206,3863,3348,82103,1744,1178,4880,146653,14419,22212,148397,40898,48368,17926,6681,1315,15597,5537,2845,1530,24951,1994
81,"Richmond (Independent City), VA",7306917,408090,1011109,780358,2934564,0,0,798269,5156108,323438,25512,5156108,-3574084,1403240,818304,202105,13871,323438,1401288,203550,189679,5582191,1994
82,"Richmond, VA",85707,5240,11056,8434,71755,3430,2497,9457,125468,6428,15590,128898,-4495,29726,27417,8268,639,8925,15273,3682,3043,61509,1994
83,"Roanoke (Independent City), VA",2424597,146440,284966,290580,1156019,0,0,291730,1950905,96137,19916,1950905,-976848,389396,405490,97959,5350,96137,430256,85884,80534,1898204,1994
84,"Roanoke + Salem, VA*",1817519,106513,210941,187144,1880433,2834,1812,200085,2682827,200202,25136,2685661,262999,547347,257881,106844,9032,202014,304513,63512,54480,1310992,1994
85,"Rockbridge, Buena Vista + Lexington, VA*",347518,21918,41391,35900,325539,2164,1140,39868,550952,26868,16884,553116,17889,134842,92735,32759,2870,28008,59341,15845,12975,260169,1994
86,"Rockingham + Harrisonburg, VA*",1546028,86340,184197,151222,1287702,91001,77962,161951,1745662,112974,18812,1836663,-96375,340232,208729,97631,9726,190936,259808,60901,51175,1095284,1994
87,"Russell, VA",228990,14805,29063,24410,252634,4473,3600,27010,422418,21413,14443,426891,50654,53611,120646,29557,2872,25013,41268,11000,8128,162709,1994
88,"Scott, VA",123406,8851,15997,11890,202413,4380,3709,14796,336200,10877,14471,340580,93803,50478,87689,23536,2828,14586,21942,7772,4944,86878,1994
89,"Shenandoah, VA",409567,24545,48328,38718,412333,19062,16063,43904,603193,43220,19062,622255,46670,126377,83545,32644,3911,59283,67687,18290,14379,282597,1994
90,"Smyth, VA",418641,25453,58470,42392,351856,4708,3700,46649,537833,31873,16380,542541,-20136,81409,109276,33122,3102,35573,79666,18433,15331,303402,1994
91,"Southampton + Franklin, VA*",242193,13899,28650,22034,317440,28062,24673,24916,468004,14906,19292,496066,100163,89703,88923,25713,1640,39579,39667,10216,8576,162947,1994
92,"Spotsylvania + Fredericksburg, VA*",1069471,63878,120894,109288,1414185,1231,693,118522,1961073,99786,21573,1962304,463236,371181,176938,90962,7788,100479,175538,45546,37758,793454,1994
93,"Stafford, VA",560345,32046,70386,57458,1284532,1013,910,60775,1690578,60144,22291,1691591,784962,317337,89722,75886,4836,61054,99115,22256,17420,400176,1994
94,"Suffolk (Independent City), VA",559743,33847,69385,56960,712856,16084,11594,62327,1063434,35645,20053,1079518,215440,197532,169130,53834,3199,47239,97865,22135,18936,414639,1994
95,"Surry, VA",117457,6426,14429,12170,74449,7061,5495,12511,112853,2855,18414,119914,-30497,26761,18704,6512,434,8350,20514,2781,2347,88593,1994
96,"Sussex, VA",88382,5260,10271,8032,115102,10912,8412,9276,175460,5534,18391,186372,35996,31862,39408,10134,608,13946,14287,3715,3107,60149,1994
97,"Tazewell, VA",443158,28782,57203,46198,434439,4156,3283,51881,752201,35662,16342,756357,43162,130510,191408,46283,3263,38945,80302,19843,16580,323911,1994
98,Virginia,115317751,6514979,14030966,12408862,108867340,633578,474106,12719410,158249193,7355421,24098,158882771,6268999,34342626,15672805,6593139,521775,7829527,20235397,3813122,3291347,87252827,1994
99,"Virginia Beach (Independent City), VA",4887847,275809,599151,525476,7226228,7743,6530,538547,10290724,417136,24447,10298467,2876928,2390193,682046,421257,28493,423666,861889,195997,167504,3602292,1994
100,"Warren, VA",213076,13827,24335,19884,379937,870,534,23769,555530,33369,19283,556400,190630,102623,73840,28854,2451,33903,34277,10195,7744,144896,1994
101,"Washington + Bristol, VA*",905476,53938,122503,91460,749257,16401,13350,99668,1170568,54903,17895,1186969,-56551,224555,213157,66329,6754,68253,168233,39112,32358,668990,1994
102,"Westmoreland, VA",84679,5892,10168,7368,161554,5943,2924,9576,279355,13460,17367,285298,86451,66990,56754,16428,1469,16384,13852,4946,3477,54443,1994
103,"Wise + Norton, VA*",599125,36827,76110,70280,435453,252,170,71967,746690,43069,17060,746942,-91705,104468,207021,43782,2341,43239,111250,20894,18553,444636,1994
104,"Wythe, VA",290181,18034,38415,29090,291146,6139,4483,32579,449307,22673,17100,455446,33544,74544,89756,26635,2681,27156,52960,14136,11455,210065,1994
105,"York + Poquoson, VA*",535849,31037,74941,54088,1075919,811,233,58081,1593660,54380,25505,1594471,598151,418226,100326,62515,4992,54613,101985,22165,17173,379251,1994
0,"Accomack, VA",381860,22566,46652,35128,338917,23181,15187,40130,574237,45516,17057,597418,-2813,137173,121328,35024,2940,60703,64216,16869,13929,256941,1995
1,"Albemarle + Charlottesville, VA*",2535656,146513,311690,251082,1859492,6430,3874,272054,3177929,251644,27285,3184359,-404110,1031273,293594,116709,12169,255518,437231,86990,74821,1842907,1995
2,"Alexandria (Independent City), VA",4224591,235469,431396,467648,3179264,0,0,469293,4578471,247453,38829,4578471,-576034,1101789,297418,117915,13797,247453,665220,107035,93238,3311918,1995
3,"Alleghany + Covington, VA*",374556,24191,41872,45622,291417,451,227,47002,466439,19237,19288,466890,-36137,74415,101058,24206,1566,19464,64683,12685,11119,290409,1995
4,"Amelia, VA",73186,4268,6802,5516,133726,11521,8866,7026,181483,13774,19368,193004,67566,31037,28241,9965,1129,22640,9560,3373,2244,40986,1995
5,"Amherst, VA",283394,17879,37157,27940,357729,850,339,31849,516013,22861,17009,516863,106184,79554,79580,30387,2434,23200,51127,12514,10080,209067,1995
6,"Appomattox, VA",114609,7391,13618,11012,160114,372,-105,12897,234050,14844,18098,234422,58402,37290,37018,12953,1439,14739,19124,5705,4266,80746,1995
7,"Arlington, VA",9598046,486892,1142076,1074164,4871754,0,0,1023974,7053140,397849,38809,7053140,-3702318,1827051,354335,181741,17082,397849,1679158,200066,182984,7521039,1995
8,"Augusta, Staunton + Waynesboro, VA*",1453533,87501,171931,142962,1354069,31638,25647,158982,2066801,126653,20236,2098439,59518,433583,310787,103697,9888,152300,243412,54791,44903,1057821,1995
9,"Bath, VA",70719,4463,7374,7590,59784,691,498,8258,104280,4754,21189,104971,-2677,26738,18449,4954,527,5252,11169,2984,2457,54298,1995
10,"Bedford, VA*",461302,31048,51016,45040,866412,810,-463,53568,1298033,57693,21403,1298843,458678,270887,161544,60684,5711,57230,73536,21308,15597,330536,1995
11,"Bland, VA",60664,3939,8132,5788,66718,505,137,6833,104244,6866,15256,104749,12887,16105,21926,6866,1022,7003,11026,2982,1960,42635,1995
12,"Botetourt, VA",195643,12936,22391,18600,418487,973,-184,22236,599348,27148,21552,600321,245080,109758,72076,27855,2642,26964,31691,8871,6229,136988,1995
13,"Brunswick, VA",129804,8254,17127,12084,147467,6678,4624,14296,246188,11934,15495,252866,31959,43970,61429,16319,1123,16558,23169,6138,5015,90077,1995
14,"Buchanan, VA",356277,22367,46630,43300,251910,16,0,44017,480464,29846,16090,480480,-60350,84786,143784,29862,1698,29846,68280,11706,10008,258151,1995
15,"Buckingham, VA",103770,6517,12343,9206,131337,5530,4676,11120,207755,16131,14525,213285,38687,38212,43736,14684,1218,20807,16946,4512,3294,66017,1995
16,"Campbell + Lynchburg, VA*",2279874,136970,258374,240786,1515084,2260,895,257363,2390868,127300,20704,2393128,-507427,451423,426621,115588,9101,128195,378767,82690,73589,1772912,1995
17,"Caroline, VA",130587,8391,16698,11618,269984,2134,1385,14200,400285,19885,19156,402419,153597,72991,59444,21008,1535,21270,22507,5952,4417,86810,1995
18,"Carroll + Galax, VA*",399317,25555,49223,40756,363427,4753,3717,45933,598022,32625,17164,602775,10043,100988,138360,35119,3632,36342,69601,19915,16283,293374,1995
19,"Charles City, VA",39703,2515,4978,3466,81750,1972,1258,4248,121374,6694,18694,123346,46295,23291,18305,6598,502,7952,6711,1758,1256,25040,1995
20,"Charlotte, VA",89064,6271,10105,7542,109008,3956,2129,10042,188007,17232,15644,191963,29986,35910,47045,12271,1544,19361,13876,4853,3309,55827,1995
21,"Chesapeake (Independent City), VA",2048263,120327,247841,220596,3034886,10041,4660,230625,4095353,119005,22309,4105394,1217248,685272,385236,184024,11549,123665,358139,82604,71055,1566459,1995
