,GeoName,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries,year
61,"Middlesex, VA",8171,296,354,332,10060,257,-92,462,15155,2998,2446,15412,2351,2941,2411,6302,715,2906,520,2135,1420,4745,1969
62,"Montgomery + Radford, VA*",192684,6289,13728,11794,133957,861,136,12186,163586,9512,2849,164447,-46541,19743,10747,57716,2491,9648,19625,31220,28729,163411,1969
63,"Nelson, VA",15536,578,864,900,20882,598,30,1028,27027,2823,2341,27625,6374,3535,3208,11803,846,2853,1314,3374,2528,11369,1969
64,"New Kent, VA",5838,210,238,290,13136,87,-8,355,16477,1672,3125,16564,7653,2212,1216,5301,426,1664,383,1515,1089,3791,1969
65,"Newport News (Independent City), VA",566815,16403,59576,36802,456253,0,0,34804,555383,21346,3964,555383,-75758,73927,25203,140100,3727,21346,77977,77556,73829,467492,1969
66,"Norfolk (Independent City), VA",1499480,38092,208073,90896,969147,0,0,83540,1249556,53508,4374,1249556,-446793,217092,63317,285700,7998,53508,253521,220363,212365,1192451,1969
67,"Northampton, VA",26157,823,1279,1404,24194,3652,1817,1525,30386,4389,2331,34038,-438,5404,4440,14604,1145,6206,1981,6629,5484,17970,1969
68,"Northumberland, VA",12081,423,584,572,15420,583,372,709,22683,3074,2474,23266,4048,4657,3189,9403,857,3446,870,3014,2157,7765,1969
69,"Nottoway, VA",36355,1209,2376,2478,31218,1456,1044,2448,39422,3138,2838,40878,-2689,5684,3976,14404,1333,4182,3615,7326,5993,28558,1969
70,"Orange, VA",31515,1048,1238,1738,31692,2108,1302,1917,46657,5714,3533,48765,2094,13340,3733,13804,1279,7016,2107,6763,5484,22392,1969
71,"Page, VA",29699,1089,1357,1948,34119,918,670,2063,43529,4323,2677,44447,6483,5586,4742,16605,1259,4993,2331,6390,5131,22375,1969
72,"Patrick, VA",22966,761,977,1322,33441,2027,1604,1422,38226,3937,2613,40253,11897,3218,3594,15404,1641,5541,1638,5269,3628,15787,1969
73,"Pittsylvania + Danville, VA*",244355,8041,11338,15624,233871,16618,14458,15853,275806,23119,2763,292424,5369,33427,25126,105830,9598,37577,19150,48599,39001,187628,1969
74,"Portsmouth (Independent City), VA",352865,6999,42495,15156,320410,0,0,14577,399325,13421,3187,399325,-17878,54238,24677,125300,3092,13421,50073,49814,46722,289371,1969
