,FIPS_County,Number_in_Poverty,Percent_in_Poverty,Median_Income,County_Name,population,year,Firms,Establishments,Employment,Payroll_$1000,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries
908,143,9815,16.4,44710,pittsylvania county,59848,2018,801,849,8203,300577,2113256,159516,280205,230718,1945848,7101,-2081,274875,3738236,115868,36858,3745337,107467,544509,1254980,101615,9563,113787,395564,50890,41327,1603905
909,145,1931,6.9,88475,powhatan county,27986,2018,673,688,5503,215280,479551,35350,57118,45966,1116304,43,-821,58333,1671524,76656,57247,1671567,695086,321538,233725,29199,4256,75835,80101,12198,7942,323615
910,147,3782,20.0,48450,prince edward county,18910,2018,474,512,6987,241862,513574,34572,77122,55694,363893,2301,1204,62419,698709,28493,30640,701010,-87262,122874,214243,22879,2080,29697,104969,12423,10343,378908
911,149,3019,8.9,68133,prince george county,33921,2018,430,473,10252,375823,2503602,132846,473538,306842,1300521,-3166,-3652,286267,2251369,44515,37053,2248203,-916814,393173,554509,60676,4359,40863,626959,36995,32636,1835780
912,153,29545,6.4,106200,prince william county,461641,2018,7273,8411,107362,5012545,13144142,781254,1538304,1367624,21352524,-2506,-5603,1465066,28775121,1575692,54733,28772615,9673448,4531209,2888882,525694,73036,1570089,2222116,249351,176315,9351937
913,155,4791,14.6,50834,pulaski county,32815,2018,542,607,10460,426575,824126,58899,112997,91954,749274,751,-867,104876,1347992,49722,39556,1348743,30024,211544,387925,34097,2928,48855,158974,17559,14631,616297
914,157,629,8.7,71035,rappahannock county,7230,2018,211,212,1105,40862,119790,9917,10646,8734,241323,-3537,-5601,14284,485979,47136,65434,482442,135817,171601,69518,7373,1914,41535,15013,3606,1692,63242
915,159,1169,15.9,49399,richmond county,7352,2018,159,167,2227,62750,183711,12600,30449,18904,177484,2044,-536,22052,330528,10559,37026,332572,15825,71607,83481,8982,1012,10023,39901,4219,3207,133787
916,161,6145,6.7,68734,roanoke county,91716,2018,1808,2010,29061,1194695,4018407,264382,503618,418750,3756078,-628,-1521,473757,6100929,385926,51078,6100301,211428,1198117,1146106,119432,13582,384405,712993,76226,62644,2921009
917,163,2670,12.0,53413,rockbridge county,22250,2018,418,435,5086,164304,780128,56489,104334,84276,716723,-2082,-4482,98627,1430835,85559,39023,1428753,35222,368929,343101,36613,4711,81077,146472,19529,14818,552579
918,165,6909,8.7,61375,rockingham county,79414,2018,1349,1484,28001,1213417,4227209,256031,514470,414430,3383481,131493,109138,463246,5199734,461365,39471,5331227,-380482,1001296,946450,135068,16996,570503,721685,86458,69462,2935021
919,167,5683,21.5,38966,russell county,26433,2018,397,462,5819,230596,416033,36228,56454,48362,423319,-1842,-3958,60409,877782,21250,32660,875940,67695,124666,327955,26820,2406,17292,80635,9888,7482,318106
920,169,3834,18.5,40161,scott county,20724,2018,228,264,3490,110471,256118,25075,38187,27172,345248,-3808,-4553,38661,715785,25559,32915,711977,127791,108276,258453,21631,2482,21006,51773,7823,5341,183339
921,171,4479,10.4,55283,shenandoah county,43067,2018,794,865,12706,465833,870876,63374,107494,85350,1151944,10712,6628,106049,1917009,111266,44352,1927721,387117,359953,415824,43464,5735,117894,150169,21136,15401,602813
922,173,6059,20.4,40972,smyth county,29701,2018,451,498,8878,319931,647728,48906,102635,69622,563253,-3422,-5459,83717,1100502,35267,35959,1097080,-758,168273,365554,30509,2868,29808,137446,15829,12961,480474
923,175,2350,14.7,52741,southampton county,15986,2018,201,214,2150,95516,423209,32038,66436,43650,562571,4455,-366,53863,1048112,26358,40813,1052567,193225,200229,289767,25790,2573,25992,88261,11270,8697,308956
924,177,10061,7.5,86695,spotsylvania county,134147,2018,2256,2547,31821,1196715,3973683,254146,455952,413824,5543966,1059,-626,461058,8278124,395465,50610,8279183,2031341,1498449,1236768,163589,19764,394839,662864,85370,65606,2915980
925,179,7822,5.4,108421,stafford county,144852,2018,2118,2345,33843,1451715,3559051,216862,498100,376156,5884787,-4189,-4698,404940,8216333,250015,54787,8212144,2730676,1323093,1004264,149891,17025,245317,686178,65743,48718,2627556
926,181,831,12.9,54663,surry county,6442,2018,80,84,1352,124661,281127,17272,46830,29508,172942,-1236,-2140,32026,283109,4555,43803,281873,-76159,38383,70548,6435,770,2415,61584,3405,2635,217128
927,183,1980,22.9,43031,sussex county,8646,2018,164,190,1887,62331,202270,14480,32733,21662,176694,35,-1549,25311,338895,7829,30278,338930,-265,51961,110275,11194,931,6280,43564,4740,3809,152426
928,185,7104,18.2,42074,tazewell county,39033,2018,858,982,11721,396653,844376,65314,119115,89178,765589,1802,627,109903,1520033,69926,36981,1521835,31116,236627,519619,41152,3485,70553,163704,19378,15893,610119
929,187,4026,10.3,65635,warren county,39087,2018,772,818,11103,419171,786688,54085,97255,83666,1225031,-1945,-2843,95918,1831382,79769,45672,1829437,534261,284252,320154,40056,4719,76926,139088,18422,13703,570674
930,191,8022,15.2,45510,washington county,52776,2018,1008,1140,17675,685205,1679991,122272,231926,176950,1417175,-1780,-5604,210747,2806587,153854,39541,2804807,-52069,591232,796400,70935,8425,148250,320401,40056,31631,1211340
931,193,2914,16.4,51414,westmoreland county,17768,2018,288,310,2516,70647,205088,17724,26838,18540,386175,20430,14618,26994,752699,26142,43390,773129,208081,190164,196790,17818,2158,40760,36108,6075,3917,128220
932,195,8929,25.4,38045,wise county,35154,2018,553,663,7732,245923,819242,63390,129228,89872,611913,-702,-817,108326,1334276,42406,31879,1333574,-99003,176876,544785,41833,2687,41589,174164,18838,16151,603489
933,197,4391,15.4,46345,wythe county,28513,2018,613,680,10094,344954,608575,45219,88044,64536,522410,-2700,-5790,77487,998955,49804,34762,996255,-8678,152372,321473,28659,3272,44014,120312,15448,12176,444249
934,199,3690,5.5,86317,york county,67091,2018,1339,1497,20131,735642,1565472,104669,208629,169760,3005432,1436,479,189549,4664047,141455,58119,4665483,1629509,1038254,621797,80274,8472,141934,293509,35601,27129,1130029
935,510,16093,10.1,99425,alexandria city,159337,2018,4075,4625,81901,5370849,10595890,610440,1228993,1163500,9835738,0,0,1192190,13899351,846872,87761,13899351,432038,3180275,883338,158377,27685,846872,1810743,126029,98344,7938275
936,550,20239,8.5,78846,chesapeake city,238106,2018,4691,5514,93322,4017016,6564439,414743,793396,726824,7956060,5599,143,778155,11862332,348981,48890,11867931,2169776,1997658,1914213,242748,26547,349124,1156808,136139,109592,5058507
937,650,19954,15.4,54763,hampton city,129571,2018,1927,2325,41749,1823060,4465642,261118,745419,535568,3261397,0,0,528902,5552548,118573,41191,5552548,-675343,978438,1312713,134800,12549,118573,1013203,77373,64824,3333866
938,700,26007,15.2,50283,newport news city,171099,2018,3084,3718,90566,4719376,8110823,465738,1184661,935202,4454791,0,0,933339,7217889,256042,40345,7217889,-2722693,1215433,1547665,178904,17534,256042,1652262,130190,112656,6202519
939,710,41471,19.7,48519,norfolk city,210513,2018,4234,5370,107409,5251978,13644651,744246,2243362,1667380,5299188,0,0,1577936,9342405,110736,38262,9342405,-6767527,2033600,2009617,244168,23922,110736,3077052,201340,177418,10456863
940,740,17540,19.2,47343,portsmouth city,91354,2018,1443,1648,25499,1106123,4103703,229783,792930,485554,2112302,0,0,472560,3664519,100455,38623,3664519,-1518841,588971,963246,94879,8656,100455,1035707,60714,52058,2967541
941,760,48424,22.3,48747,richmond city,217148,2018,5464,6260,124176,7601631,13995024,825621,1754267,1450870,6987338,0,0,1551056,12132940,941696,52839,12132940,-5456630,3165381,1980221,229621,31511,941696,2479702,200153,168642,10573626
942,770,19812,20.2,42715,roanoke city,98079,2018,2624,3123,74511,3292844,4643564,288001,560128,532804,2270926,0,0,554403,4173414,271169,42171,4173414,-1818235,829084,1073404,98964,9796,271169,826530,81560,71764,3545865
943,800,9846,10.9,69753,suffolk city,90330,2018,1452,1672,23036,924645,2231688,144475,288164,244158,2960159,16885,4924,266554,4593687,141217,50591,4610572,995025,808600,841813,91135,10245,146141,410243,44258,34013,1675304
944,810,33084,7.5,76520,virginia beach city,441120,2018,9432,11175,159910,6652162,13756874,820580,1780859,1494560,15810698,-3910,-5741,1567860,25214658,1371838,55963,25210748,3621684,5780772,3619278,450488,59745,1366097,2528139,269425,209680,9862638
945,1,5225,16.4,47335,accomack county,31860,2019,632,714,9075,295357,1119986,67460,181644,129706,858335,25567,20126,132313,1580822,57189,49695,1606389,-129338,355088,392966,32325,3801,77315,246497,19926,16125,796174
946,3,6882,6.7,86332,albemarle county,102716,2019,2509,2838,41641,2104174,8516598,503727,1099244,847618,6196611,-1492,-11201,927536,11925057,861952,75885,11923565,-1392451,4541613,1185341,157126,27056,850751,1523053,136653,109597,6142794
947,5,1680,11.5,53341,alleghany county,14609,2019,236,250,2533,81356,501496,38180,65423,58456,412284,-444,-783,67408,821559,18452,40015,821115,-21804,131915,276916,20520,1424,17669,94651,9760,8336,389176
948,7,1211,9.3,60096,amelia county,13022,2019,267,277,1925,64600,170244,13804,19010,15622,353626,12812,9223,21615,559980,24982,43865,572792,204997,78275,140891,13058,1813,34205,26821,4615,2802,109218
949,9,3645,12.0,56218,amherst county,30375,2019,527,565,6136,225330,469950,38937,64076,49606,661161,-787,-1537,63740,1190613,35007,37560,1189826,254951,182621,346044,31678,2935,33470,88879,11571,8636,347601
950,11,1991,12.6,54609,appomattox county,15802,2019,275,281,2376,65578,173150,16319,24220,16908,356267,-2546,-3399,24773,624064,20654,39084,621518,207890,88961,176290,15902,1757,17255,32674,5308,3551,123221
951,13,17774,7.6,118986,arlington county,233868,2019,5050,6416,148180,13125404,26118990,1456928,2994913,2799020,17124579,0,0,2856438,23390078,1412876,98116,23390078,-6137973,5132688,1132811,238392,35307,1412876,4394423,241448,206141,20311691
952,15,5260,7.3,63621,augusta county,72055,2019,1333,1419,21666,972017,3215529,223273,396442,331416,3267718,25425,17967,388981,5519631,319772,44917,5545056,441170,1037180,1240158,123452,13897,337739,562150,66458,52561,2315640
953,17,406,9.9,54385,bath county,4101,2019,117,122,1872,72918,135703,9449,17580,14588,114862,1488,999,16743,272339,6350,65682,273827,-4098,105319,53646,4169,594,7349,24874,2986,2392,103480
954,19,6766,8.6,66591,bedford county,78674,2019,1624,1736,17799,717521,1189208,100154,136570,122348,2180296,-5660,-7505,161328,3727551,147709,46857,3721891,1152416,722491,819104,79431,10292,140204,197744,30939,20647,851260
