,FIPS_County,Number_in_Poverty,Percent_in_Poverty,Median_Income,County_Name,population,year,Firms,Establishments,Employment,Payroll_$1000,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries
276,139,3683,15.6,41300,page county,23609,2012,377,412,4029,114847,290296,17336,32792,30102,431223,20274,17019,32387,741313,47761,31944,761587,173314,134063,196301,23841,2654,64780,47843,8659,6005,177673
277,141,3280,18.1,33818,patrick county,18122,2012,290,300,4017,102098,226867,14674,29082,23660,264002,3421,1324,26504,512155,36306,28114,515576,63639,80142,171432,18339,2254,37630,40912,7660,5406,148325
278,143,8965,14.5,42236,pittsylvania county,61828,2012,789,831,8276,230645,1843721,103334,226542,211868,1721579,24039,14732,209268,3200858,129561,30532,3224897,87126,490804,1012514,105625,9223,144293,332476,50050,40827,1366952
279,145,1821,7.1,73639,powhatan county,25648,2012,639,648,4117,137808,404257,21167,48535,39662,854737,1067,172,40998,1241248,65340,44076,1242315,491478,223681,163897,28186,3286,65512,68366,10599,7313,270379
280,147,4460,23.7,37636,prince edward county,18819,2012,481,528,6708,184723,428807,21644,57030,46870,322332,3918,2776,45079,596548,38496,25897,600466,-61396,107950,170184,23187,2191,41272,80465,11789,9598,307070
281,149,2781,8.7,62475,prince george county,31966,2012,431,469,7091,257110,2414898,90097,454788,310964,1194355,939,444,245579,2000510,66179,33660,2001449,-974964,382128,424966,59461,3459,66623,610270,34979,31520,1738005
282,153,28559,6.7,93011,prince william county,426254,2012,6176,7198,90681,3573618,10539797,455627,1170108,1143644,18167973,2810,-293,1027449,23720437,1358281,48873,23723247,8655625,3573602,1981672,485404,52760,1357988,1741930,208607,155847,7439879
283,155,5563,16.6,42502,pulaski county,33512,2012,562,619,10377,348486,670264,36234,84557,78618,670759,3623,1944,75543,1164017,59972,33617,1167640,76038,176096,320785,34734,2693,61916,123866,16290,13597,484482
284,157,783,10.6,58276,rappahannock county,7387,2012,185,187,1050,30687,131534,7275,10443,8972,229454,327,-1809,11761,405990,46736,54804,406317,109681,123764,53099,7414,1680,44927,14929,3380,1700,71678
285,159,1484,20.3,41190,richmond county,7310,2012,175,187,2046,52742,149007,7738,21105,15240,142594,4896,2230,15358,265342,12083,29775,270238,8945,57420,70224,9076,925,14313,28725,3917,2992,105969
286,161,6740,7.4,58550,roanoke county,91081,2012,1809,2011,29803,1041529,3838475,183021,432436,411388,3478106,910,-15,388715,5374027,456171,45565,5374937,28346,1002493,894338,117961,13012,456156,638130,76290,63278,2744189
287,163,2781,12.5,46909,rockbridge county,22248,2012,415,438,4388,118050,685227,36870,81932,75906,646313,-223,-2658,74823,1228543,95405,33967,1228320,35909,294996,287011,36162,4682,92747,119885,18981,14299,472595
288,165,8140,10.8,51137,rockingham county,75370,2012,1298,1416,24263,910511,3405798,153005,395822,352312,2703794,110490,87614,329161,4118789,354911,32917,4229279,-372843,793967,731518,128485,15568,442525,571978,79301,63733,2391295
289,167,5145,18.3,35912,russell county,28115,2012,442,492,6198,217819,397302,25321,49054,44526,462138,-1852,-4050,47584,853632,46574,29962,851780,112420,109987,279655,28429,2512,42524,71317,10213,7701,283461
290,169,4699,21.3,36566,scott county,22061,2012,263,296,3548,106061,228103,17072,29625,25170,338303,-3508,-4284,29657,660467,27652,28618,656959,139857,94140,224516,22956,2730,23368,42210,7960,5230,162525
291,171,4797,11.4,48677,shenandoah county,42079,2012,807,872,11431,341232,710410,38180,78585,70542,926344,22249,17978,73451,1518647,115816,36229,1540896,289385,292996,321556,42532,5710,133794,113856,19804,14094,462760
292,173,5898,19.0,36235,smyth county,31042,2012,489,528,9511,313262,589807,33154,80407,65692,532947,2336,226,66000,975835,60938,30653,978171,9140,141777,303447,31911,3214,61164,113253,15495,12281,415390
293,175,2799,16.7,43846,southampton county,16760,2012,214,226,1857,51889,426953,22204,56172,44098,523425,24678,19767,44253,915559,32742,34831,940237,140725,177245,239567,26994,2499,52509,78221,11290,8791,296223
294,177,10558,8.5,77298,spotsylvania county,124212,2012,2065,2305,27535,999902,3179602,149271,332487,343348,4678271,2555,838,320945,6795798,329423,44417,6798353,1819614,1256150,863932,153057,14797,330261,504161,74568,59771,2345180
295,179,7231,5.5,95927,stafford county,131473,2012,1889,2087,28870,1141676,2991538,127949,404128,333718,4847358,-3295,-3824,294808,6624168,270734,49614,6620873,2150628,1144119,629396,133449,12220,266910,570987,55593,43373,2153641
296,181,881,12.9,50425,surry county,6829,2012,70,74,0,0,233593,10433,35157,23882,151336,6527,5583,22374,234832,6076,35266,241359,-59883,36519,53504,6844,553,11659,47098,2937,2384,174836
297,183,2156,23.0,36901,sussex county,9374,2012,167,187,1973,59116,195798,9824,26815,20482,183274,11800,10156,20065,311247,8751,27085,323047,7541,45837,93936,11927,778,18907,37056,4627,3849,139835
298,185,9089,21.4,34760,tazewell county,42472,2012,979,1119,13632,439162,813170,46053,103632,87598,807156,1274,53,89852,1492570,79500,33739,1493844,83838,246378,440310,44276,3756,79553,147431,21227,17471,586186
299,187,4085,11.0,58632,warren county,37136,2012,747,782,9335,283219,658948,33455,72760,70744,1041722,-1020,-1952,68827,1519970,93640,40080,1518950,451601,233137,244091,37898,4255,91688,108132,16879,12624,459128
300,191,7405,13.9,43155,washington county,53273,2012,1049,1156,17046,574392,1936897,98429,207117,187846,1609791,-1031,-4926,192352,2894002,382140,39730,2892971,-134754,626521,656659,72816,8361,377214,301040,42303,33942,1258643
301,193,3073,17.6,45051,westmoreland county,17460,2012,309,327,2466,57846,173156,11453,20349,16850,322526,10522,4513,19878,630759,27688,36613,641281,169248,162369,156386,17515,2035,32201,28774,5836,3801,112181
302,195,9750,25.6,35800,wise county,38086,2012,670,809,12166,485557,978545,52418,127838,111594,716661,2005,1896,108215,1370132,50971,30456,1372137,-153669,179871,475605,45053,2881,52867,183635,22342,19461,742043
303,197,4889,16.9,38533,wythe county,28929,2012,638,697,9179,276207,537564,29553,72280,60188,473410,1954,-1249,59647,876466,49941,29949,878420,-4507,140552,264458,29331,3425,48692,102374,15646,12221,386498
304,199,4494,6.9,75316,york county,65130,2012,1262,1407,17274,508496,1306137,63616,165104,146478,2679666,159,-814,136855,4007580,140547,51390,4007739,1510384,869543,458530,77987,6526,139733,238343,32245,25719,928061
305,510,12412,8.6,80942,alexandria city,144326,2012,4139,4621,83356,4749809,10183159,426710,1010887,1072508,8803589,0,0,962964,11951904,1511310,81096,11951904,-416606,2498919,649396,147379,21222,1511310,1547141,122492,101270,7124708
306,550,23308,10.4,64950,chesapeake city,224115,2012,4528,5328,85107,3183807,5472022,253173,605181,624282,6989519,7582,1955,565314,10059301,414931,44127,10066883,2082811,1693668,1383696,228134,20633,416886,917322,122642,102009,4137814
307,650,21855,16.5,47206,hampton city,132455,2012,2008,2396,40386,1503666,4176014,177867,654348,513412,3087448,0,0,434573,5066199,171370,36920,5066199,-653993,897842,1080909,137222,9832,171370,911054,76460,66628,3093590
308,700,28299,16.4,46794,newport news city,172555,2012,3102,3723,85357,3916460,7111851,295111,1031341,819202,4302405,0,0,704712,6718946,432695,37297,6718946,-2104734,1127669,1288872,180148,14051,432695,1440942,119956,105905,5238214
309,710,47978,22.6,41880,norfolk city,212292,2012,4218,5480,109684,5075991,13325695,496707,2184906,1715038,5015645,0,0,1354226,8722547,437992,35422,8722547,-6955824,2021468,1685434,246247,19554,437992,3042425,207067,187513,9845278
310,740,18123,19.5,41699,portsmouth city,92938,2012,1510,1697,27800,991875,3602306,147396,657345,443904,2005218,0,0,369348,3394242,103927,35168,3394242,-1227740,548345,840679,96516,7087,103927,879297,58573,51486,2619082
311,760,52017,26.2,37933,richmond city,198538,2012,5163,5974,113175,5908883,11899012,509724,1336437,1225186,5783693,0,0,1122317,10236240,1289606,48531,10236240,-4993002,2764828,1687719,210922,21712,1289606,1949030,180453,158741,8660376
312,770,19291,20.1,37800,roanoke city,95975,2012,2693,3193,64898,2624635,4117480,190440,457186,494300,2103427,0,0,437590,3786396,326453,38623,3786396,-1576463,769742,913227,98034,9039,326453,704336,80666,71627,3086691
313,800,9986,11.9,61778,suffolk city,83916,2012,1303,1476,20574,750300,1795570,86067,194834,194186,2543032,19875,7542,183160,3884419,190336,45761,3904294,930622,737918,623344,85320,8432,197878,291927,37098,28666,1305765
314,810,39564,9.1,61523,virginia beach city,434769,2012,9011,10669,148866,5588378,11621397,505528,1492137,1340640,13955085,2169,262,1175848,21508200,934154,48317,21510369,3509536,4837877,2717407,445189,48532,934416,2162457,244114,195582,8524524
315,1,6302,19.3,38064,accomack county,32653,2013,677,760,8779,247118,707994,44437,97646,71912,630542,45312,38226,80393,1145692,64174,36111,1191004,2941,244894,315568,32982,3867,102400,133602,17687,13820,471992
316,3,9223,9.5,70032,albemarle county,97084,2013,2302,2569,37158,1742142,6476387,366903,841531,655168,4715302,734,-11880,694487,8316889,739477,56436,8317623,-1066598,2740868,861453,147381,24004,727597,1169115,117647,93643,4579675
317,5,2169,13.7,44983,alleghany county,15832,2013,231,243,2471,86278,456430,32600,60714,52834,376669,-1976,-2417,59017,717666,27121,32893,715690,-20744,113249,225772,21758,1452,24704,87131,9880,8428,344595
318,7,1531,12.1,52055,amelia county,12653,2013,252,258,1804,50208,174758,11080,15729,13230,314842,27069,22385,17695,459027,37601,38411,486096,157779,65257,105997,12655,1720,59986,22344,4298,2578,92428
319,9,4352,14.2,47268,amherst county,30648,2013,553,588,6347,196232,471255,33608,69100,49788,591358,-1538,-2513,58502,1016888,41429,31405,1015350,178605,159749,264243,32331,2846,38916,93994,12533,9687,338345
320,11,2447,16.2,44062,appomattox county,15105,2013,281,285,2268,55451,149269,12345,21346,14838,289294,-1150,-2232,19764,499754,21492,32557,498604,159789,74704,134606,15315,1727,19260,28765,5125,3398,101244
321,13,18767,8.5,101533,arlington county,220788,2013,4842,6219,132556,9776167,19730438,1084206,2311502,2227652,13448872,0,0,2198032,17865923,1202620,79362,17865923,-4083534,3604181,812870,225120,30191,1202620,3425328,212978,182787,15102490
322,15,6324,8.9,54834,augusta county,71056,2013,1331,1409,19300,735390,2666746,173096,338483,278004,2709531,49845,40146,312098,4419426,291267,37517,4469271,354883,811047,948693,119126,13316,331413,477485,62619,49303,1857848
323,17,534,11.7,42951,bath county,4564,2013,127,128,1454,46542,118918,8066,14463,12898,100770,462,-170,14515,214320,8940,46783,214782,-3633,69624,44388,4591,657,8770,20912,3079,2422,89236
324,19,6163,8.9,56888,bedford county,69247,2013,1306,1353,11923,426731,1035483,76749,119688,109094,1861277,-3505,-5900,131296,3018126,157525,39568,3014621,957090,552606,600738,76189,9537,151625,174235,29648,20111,709623
325,21,904,15.0,41939,bland county,6027,2013,72,78,1293,54476,117357,8033,20425,12304,113955,135,-319,14185,203241,9913,30473,203376,10783,31029,58392,6674,843,9594,26577,2877,2034,81186
326,23,2420,7.4,61005,botetourt county,32703,2013,681,725,9682,375018,562198,39268,67559,60674,937823,-418,-2095,69605,1434093,70181,43451,1433675,445230,241354,254498,32995,4072,68086,97896,14407,10335,396216
327,25,3209,21.7,37800,brunswick county,14788,2013,251,260,2451,67820,209901,15409,29920,22234,239065,6832,4456,26526,464683,14998,27775,471515,55690,69063,163387,16976,1281,19454,41037,5926,4645,149410
328,27,5478,24.4,31621,buchanan county,22451,2013,405,442,6464,285648,503632,36630,65597,55616,370109,-185,-257,64438,740973,31576,31339,740788,-69085,92250,278429,23638,1202,31319,93405,9433,8231,378908
329,29,3400,22.8,39538,buckingham county,14912,2013,238,252,1849,60284,191471,13617,28298,18498,243531,6245,4809,22866,428224,22798,25328,434469,74926,64786,126152,17154,1324,27607,37547,4849,3525,126317
330,31,7250,13.3,47982,campbell county,54511,2013,1063,1157,13576,503142,3982085,247794,464820,455414,2469855,2673,47,475501,4434259,232455,33333,4436932,-1036729,708368,1258709,133108,12318,232502,692527,85483,73165,3057056
331,33,4151,14.5,55760,caroline county,28628,2013,349,374,3717,131643,324351,22612,48282,34096,692087,3282,873,39660,1074855,37596,36856,1078137,407396,182287,203763,29253,2632,38469,65330,8792,6160,220552
332,35,4897,16.5,36218,carroll county,29679,2013,393,412,4205,107337,551808,40886,74974,59594,549097,3954,1220,70683,1076022,63293,29314,1079976,67972,150538,380341,36842,3427,64513,104771,16244,12817,382524
333,36,865,12.2,48394,charles city county,7090,2013,139,141,1496,54811,106694,7123,11943,10296,168044,9496,7941,12271,265186,14230,38863,274682,73621,49673,56965,7068,531,22171,17091,2294,1763,67432
334,37,2382,19.7,35715,charlotte county,12091,2013,220,232,1731,48998,149393,11476,21547,13774,185294,4581,2315,18363,359012,25316,29606,363593,54264,59982,118317,12281,1925,27631,28434,5004,3079,93328
335,41,25704,8.0,67454,chesterfield county,321300,2013,5934,6919,102530,4287373,7966160,485918,927957,881318,10577950,1395,234,926577,15124472,648725,46155,15125867,3538367,2558173,1989744,327721,37645,648959,1368616,168986,131341,5948585
336,43,1113,7.9,74384,clarke county,14089,2013,348,355,2981,128867,278610,17533,26166,27002,495984,11050,6048,31034,752445,53422,53526,763495,248408,176878,90633,14264,2939,59470,39667,7079,4140,179473
337,45,668,12.9,45527,craig county,5178,2013,57,57,329,8787,40113,3649,5297,3760,98529,-677,-1333,5529,172233,9015,33390,171556,63945,29112,43915,5138,657,7682,7177,1397,740,25254
338,47,4741,10.1,63876,culpeper county,46941,2013,937,990,11884,471923,969286,60191,116455,98488,1290504,7274,235,109435,1928746,150128,39828,1936020,430653,332174,313342,48609,6644,150363,165699,23155,16511,653224
339,49,1789,18.2,41799,cumberland county,9830,2013,137,142,888,25497,79225,6148,9777,6326,180560,9824,8472,9311,297765,15722,31221,307589,110646,43427,83602,9852,817,24194,12940,2254,1437,42091
340,51,3271,21.8,33386,dickenson county,15005,2013,184,202,2213,98216,225046,18053,31040,23356,208541,-1321,-1400,29731,441240,18235,28333,439919,13226,53210,178168,15527,790,16835,42718,4958,4168,165493
341,53,3970,14.5,51864,dinwiddie county,27379,2013,335,350,4699,191079,1624281,105335,224322,182872,1517906,6937,5474,196771,2793404,94668,35953,2800341,90396,432045,850390,77890,7374,100142,315758,40780,33406,1208381
342,57,1721,15.5,44427,essex county,11103,2013,284,297,3497,97746,192269,13320,24059,20180,220974,1919,849,23410,398960,22872,35927,400879,52115,75073,104832,11158,1334,23721,34149,5472,4138,134399
343,59,66840,6.0,110658,fairfax county,1114000,2013,24269,29556,584523,42357572,69860442,4073500,6228976,7426694,59162782,7243,4692,7786847,82189871,5996114,70324,82197114,-2910813,17832077,5202255,1168830,170743,6000806,9942323,857784,687041,53917313
344,61,4693,7.0,82705,fauquier county,67043,2013,1708,1809,17008,697690,1500801,92054,158728,150260,2664171,3162,-11741,167184,4003948,261316,59674,4007110,1330554,963095,379844,67150,10777,249575,233858,33981,23204,1017368
345,63,2189,14.2,41652,floyd county,15415,2013,304,307,2057,52869,153168,12236,18595,14174,291008,3139,-1228,19323,494366,35383,32112,497505,157163,81679,124818,15493,2526,34155,25682,5745,3219,93331
346,65,2024,8.2,63117,fluvanna county,24683,2013,377,386,2433,74534,266038,20029,34341,25106,610922,-448,-1147,32582,979490,51612,37899,979042,377466,195910,172210,25833,2910,50465,46894,7491,4581,168679
347,67,7891,14.4,48070,franklin county,54799,2013,1085,1161,12040,323902,740306,54644,87726,75546,1085336,15308,9410,92417,1924055,119905,34464,1939363,437447,378698,475329,56272,6884,129315,125499,22244,15360,485492
348,69,6311,7.9,68166,frederick county,79886,2013,1311,1442,21853,842710,3220002,194213,378577,355730,3091643,-96,-5355,372078,4568821,314592,41983,4568725,243719,802174,674908,108822,13174,309237,556442,68031,54857,2354323
349,71,2222,13.3,43504,giles county,16707,2013,257,284,3672,137431,282695,20395,39754,29872,335442,-738,-1366,35331,578377,28990,33995,577639,88078,83866,158331,16992,1719,27624,54690,6883,5164,200381
350,73,3842,10.6,58824,gloucester county,36245,2013,814,871,6985,187032,469230,33207,62945,46612,983311,3435,2643,56513,1550970,63658,42262,1554405,570594,289799,281295,36780,3775,66301,86251,13915,10140,316678
351,75,1538,7.5,76843,goochland county,20507,2013,595,638,17205,1373001,1343668,81263,117367,139696,1018161,2457,437,151111,1710095,58287,78803,1712552,-174396,510104,184287,21732,3550,58724,187215,17429,13879,1097729
352,77,2752,18.3,33302,grayson county,15038,2013,162,167,1753,47368,115587,11680,18246,11482,206914,-1128,-3183,17421,418189,20408,27563,417061,108748,60831,149316,15131,2007,17225,23987,4628,2621,74375
353,79,2149,11.5,59730,greene county,18687,2013,312,322,2381,65600,202994,14548,22018,18782,462170,766,-399,23939,699210,46146,37087,699976,283115,119474,118332,18874,2043,45747,31409,5733,3690,125838
354,81,2289,26.3,38036,greensville county,8703,2013,94,96,1776,52047,352029,22383,55001,40204,244385,6847,5655,42485,463607,9256,27058,470454,-65159,63699,162370,17387,1187,14911,75103,9313,8126,262015
355,83,7690,22.2,35553,halifax county,34640,2013,652,711,10121,337857,620975,43767,89777,68760,559395,6066,1791,78147,1066292,46858,30302,1072358,16567,168120,344843,35389,3311,48649,124157,16253,12942,448169
356,85,5598,5.6,77316,hanover county,99964,2013,2842,3077,42300,1523178,2765209,169122,293367,304812,3499812,16093,7329,321528,4968507,305071,49316,4984600,1056131,860151,624637,101075,13491,312400,445773,64292,50801,2007036
357,87,35788,11.3,60050,henrico county,316708,2013,7189,8868,163041,7879864,14694999,853392,1298061,1447366,12176961,2538,1184,1577075,17021628,2761573,53427,17024166,-940963,2871678,1975527,318646,40717,2762757,2021744,231935,191218,9910498
358,89,9637,18.5,36066,henry county,52092,2013,753,833,10895,321810,1166786,85529,156066,132868,1070436,6896,5973,151963,2125977,95166,32228,2132873,55613,344580,717857,66181,5733,101139,222500,32263,26530,843147
359,91,323,14.6,38314,highland county,2212,2013,85,86,361,8512,30755,2121,3966,2438,31780,6492,5683,3340,75665,3179,37259,82157,4365,29139,21238,2205,710,8862,5185,1323,613,16708
360,93,3731,10.6,62495,isle of wight county,35198,2013,606,638,7885,353499,691691,45786,75421,66166,1185295,9383,7328,78869,1720810,65045,48680,1730193,572473,267602,277296,35542,3564,72373,108504,14778,11214,510814
361,95,5240,7.5,75806,james city county,69867,2013,1511,1651,26035,900273,2275804,144056,274237,238988,2810724,-650,-1415,263550,4809064,266853,56378,4808414,798470,1309876,687814,85289,11240,265438,393731,54717,43477,1616635
362,97,954,13.4,44697,king and queen county,7119,2013,101,103,664,22442,1168678,63050,189901,132754,817555,-109,-659,129427,1188231,101356,47699,1188122,-221696,237667,132900,24909,2368,100697,256278,13956,11588,811703
363,99,1950,7.9,78180,king george county,24684,2013,411,468,5582,315861,223194,15261,24937,22772,434094,1922,1163,26647,643063,32810,40071,644985,237547,99961,110930,16096,1729,33973,36323,5447,3718,152898
364,101,1454,9.1,61183,king william county,15978,2013,298,307,2840,129922,72549,5540,8270,6586,152754,4193,2974,8833,245999,13977,35594,250192,89038,39185,58253,7029,741,16951,11563,1874,1133,44035
365,103,1663,15.2,46578,lancaster county,10941,2013,445,469,4187,147316,240780,17997,27979,25116,197768,1023,550,30555,526463,28731,48128,527486,-12457,197059,132659,10960,2021,29281,40537,6988,4967,170962
366,105,6805,29.0,32092,lee county,23466,2013,263,286,3197,83455,254381,21129,41572,26836,313125,-117,-1214,34547,657178,26362,26184,657061,93291,86853,257083,25094,2379,25148,54990,7587,5208,174243
367,107,13343,3.8,117680,loudoun county,351132,2013,7976,8987,134845,7533667,12512992,723419,1217662,1330476,19215955,4306,-10482,1388657,23732779,1105946,67820,23737085,8091620,3440843,1080287,350001,46683,1095464,1882900,203895,157212,9534628
368,109,3959,11.7,53170,louisa county,33838,2013,515,539,6385,289402,606325,39931,80561,61760,753406,167,-1597,70811,1228783,69630,36306,1228950,217892,225315,250229,33850,3748,68033,111441,12790,9042,426851
369,111,2439,21.4,37712,lunenburg county,11397,2013,173,177,1511,47683,129405,10165,18980,13974,168960,1710,-683,17152,341466,12582,27380,343176,56707,63639,110577,12534,1032,11899,25967,3809,2777,91539
370,113,1652,12.7,51805,madison county,13008,2013,269,273,2640,81029,215261,14487,19844,16688,348426,2500,-941,22831,558326,79906,42834,560826,155996,110948,101452,13093,2055,78965,28188,5398,3343,108108
371,115,929,10.5,55128,mathews county,8848,2013,168,169,1068,23171,86503,7655,9200,6616,213553,614,560,10963,415896,28561,46804,416510,138013,114187,88770,8899,1378,29121,12508,2951,1573,44874
372,117,5210,17.1,38439,mecklenburg county,30468,2013,706,786,9447,271068,528469,38571,72015,59390,478955,6850,759,68266,980603,41616,31600,987453,18752,180652,327846,31249,3123,42375,101710,15201,12078,384384
373,119,1610,15.5,47399,middlesex county,10387,2013,312,323,2138,57529,183338,13505,23764,16322,208189,3248,1894,21666,443063,37137,41398,446311,46517,123481,114641,10781,1821,39031,31925,5311,3490,112382
374,121,20243,23.4,46024,montgomery county,86509,2013,1721,1935,28942,1021394,2754706,159133,448108,296010,2121530,5317,1612,307138,3415452,140565,30064,3420769,-326038,705336,593903,113782,10654,142177,596113,61876,51222,2016416
375,125,2321,15.8,45990,nelson county,14690,2013,370,378,3062,78952,211640,15710,24932,18350,340580,2866,-527,24885,634399,54051,43061,637265,153825,156587,140098,14799,2693,53524,34107,6716,4023,124009
376,127,1261,6.7,72150,new kent county,18821,2013,330,339,2726,77228,223984,15702,27210,22156,941254,1521,1264,26780,1229160,41416,63060,1230681,744050,165301,124126,19516,2761,42680,38288,6882,4121,143016
377,131,2661,22.4,36211,northampton county,11879,2013,297,317,2832,82691,258589,15350,28881,24316,241292,44154,30096,27508,431120,27687,39511,475274,10211,102385,131597,12029,1806,57783,41039,6618,4812,159767
378,133,1954,16.1,49054,northumberland county,12137,2013,323,334,1682,53636,146557,12979,16951,13808,205839,6273,5246,19883,509416,26963,41933,515689,79165,169448,140402,12298,1697,32209,23855,4321,2624,90493
379,135,3240,23.5,34805,nottoway county,13787,2013,274,293,3712,94435,294926,19359,53385,33986,212282,7288,4731,36352,444300,11310,28870,451588,-46292,82003,157303,15642,1448,16041,70378,7558,6110,208507
380,137,3540,10.4,60829,orange county,34038,2013,621,657,5984,205726,517877,36188,63596,50974,878703,12231,58,61675,1453922,80005,42366,1466153,422501,304160,283290,34607,4395,80063,89083,14153,9758,348731
381,139,3595,15.3,41070,page county,23497,2013,378,410,3954,112829,293094,20981,35662,29434,427871,29185,25922,35698,730858,41394,32037,760043,170475,131728,200444,23724,2712,67316,50379,8644,5932,175399
382,141,3511,19.4,34654,patrick county,18098,2013,284,294,3760,100597,226073,17950,31004,23284,261295,1490,-612,29592,510238,36394,28031,511728,64814,76371,174062,18256,2231,35782,42646,7446,5215,147645
383,143,9330,15.2,40608,pittsylvania county,61382,2013,773,816,8074,234114,1878405,131555,247026,212464,1741504,23837,14208,237787,3247474,140481,31092,3271311,100886,479659,1050148,105214,9419,154689,353258,50250,40831,1370458
384,145,2000,7.7,74820,powhatan county,25974,2013,640,650,4426,152161,414959,27403,54848,40956,873735,1361,469,47881,1258700,63749,44502,1260061,506657,213313,173013,28315,3357,64218,75326,10835,7478,275415
385,147,4397,23.5,39077,prince edward county,18711,2013,493,540,6580,191881,435727,27938,63130,47222,316514,3495,2351,51549,593658,36320,26268,597153,-67664,104312,176327,22733,2171,38671,86741,11535,9364,310315
386,149,4174,12.9,65625,prince george county,32357,2013,426,466,7999,296026,2433377,120964,461366,310140,1198784,1436,928,276034,2017401,69247,33909,2018837,-958559,377113,442940,59537,3504,70175,616436,35647,32143,1746766
387,153,30243,7.0,93671,prince william county,432043,2013,6335,7386,94198,3711387,10832480,614482,1286867,1175678,18031547,1811,-1457,1202321,23851672,1316788,48200,23853483,8401388,3727434,2094502,494882,54514,1315331,1874706,213801,159287,7642443
388,155,5234,15.7,43555,pulaski county,33338,2013,550,606,10917,383705,689123,46792,92259,79656,664654,4476,2792,86620,1157137,53235,33620,1161613,62151,172935,324024,34551,2685,56027,132087,16305,13620,501009
389,157,768,10.3,60945,rappahannock county,7456,2013,181,183,1012,31332,130485,9097,11202,8988,225577,-853,-2995,13591,407200,45556,54668,406347,108683,125215,55555,7433,1729,42561,15696,3423,1694,72228
390,159,1479,20.3,42738,richmond county,7286,2013,163,176,1920,51001,152674,9908,23882,15620,145952,3767,1094,17718,267456,11720,30311,271223,10996,57696,67575,8948,959,12814,31692,3978,3019,108168
391,161,7062,7.7,57663,roanoke county,91714,2013,1825,2015,28903,1060812,3778714,233990,459310,402616,3437112,91,-857,435298,5256440,410581,44290,5256531,93696,906415,913004,118684,13008,409724,660618,74982,61974,2708372
392,163,2998,13.6,46882,rockbridge county,22044,2013,414,434,4390,116849,691073,46761,89377,76110,642552,581,-1937,84816,1231369,89072,34076,1231950,36295,297928,291470,36153,4710,87135,127432,18900,14190,476506
393,165,7331,9.6,55636,rockingham county,76365,2013,1310,1429,26765,1072924,3549793,202166,434233,357574,2810785,188094,164698,380953,4142983,341777,33572,4331077,-358055,781907,738385,129009,15833,506475,613020,79920,64087,2430298
394,167,5261,18.8,36107,russell county,27984,2013,432,483,5758,201240,392236,30789,53052,44034,430891,2155,-48,52806,817882,34247,28939,820037,91461,106902,282244,28337,2630,34199,75069,10203,7573,282968
395,169,4025,18.4,38336,scott county,21875,2013,263,298,3350,110411,222527,20178,31785,24128,327767,-3143,-3918,32242,651596,25108,28480,648453,137482,92388,228298,22769,2780,21190,43849,7858,5078,157488
396,171,4887,11.6,47874,shenandoah county,42129,2013,803,870,11204,358397,725306,48448,86789,71868,943004,26852,22574,84382,1528978,108428,36596,1555830,302080,282507,330319,42514,5804,131002,122723,20089,14285,471581
397,173,5337,17.3,37475,smyth county,30850,2013,478,517,9011,281860,623331,42721,88845,67118,555288,9033,6916,76280,984248,65121,31246,993281,8237,127917,310076,31789,3212,72037,122404,15526,12314,428890
398,175,2756,16.7,46547,southampton county,16503,2013,213,226,1746,52302,418083,27747,61936,42236,525481,16426,11394,48865,924440,33673,35009,940866,156263,169160,246225,26875,2499,45067,83054,11128,8629,289962
399,177,9733,7.7,73112,spotsylvania county,126403,2013,2093,2329,27727,1019352,3272348,199416,370971,351770,4694666,2613,841,375301,6833141,335471,44021,6835754,1797619,1229396,911692,155284,15490,336312,546856,75497,60007,2389180
400,179,8436,6.4,93014,stafford county,131812,2013,1937,2144,29297,1140888,3017401,171403,422306,338520,4850346,-2808,-3335,340663,6667360,240025,48992,6664552,2173608,1139814,674392,136034,12697,236690,591566,56846,44149,2189145
401,181,921,13.6,50554,surry county,6772,2013,70,74,0,0,218726,12560,38819,22138,150800,6067,5122,23629,235459,6681,35560,241526,-44297,34897,55829,6792,574,11803,49888,2847,2273,157035
402,183,2206,24.0,38948,sussex county,9192,2013,170,191,1991,61989,205404,12746,30338,21206,183872,13261,11610,23349,310617,10389,27529,323878,1817,44729,95277,11765,814,21999,40941,4721,3907,142464
403,185,7407,17.5,38336,tazewell county,42326,2013,950,1088,13482,431755,812276,57433,111649,86952,781141,4811,3588,100909,1451798,76093,33081,1456609,69774,224996,450472,44031,3758,79681,155125,20836,17078,577470
404,187,4538,12.0,56291,warren county,37817,2013,745,776,9701,312939,730779,47074,84856,78846,1034765,-1596,-2527,86497,1519439,84397,39410,1517843,390483,229266,253812,38514,4240,81870,124279,17188,12948,524630
