,GeoFIPS,GeoName,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries,year
75," ""51650""","Hampton (Independent City), VA",4261092,238436,690632,516724,3138642,0,0,496798,5236703,141706,38008,5236703,-625652,938024,1160037,137778,10617,141706,948994,75378,64761,3170392,2014
76," ""51700""","Newport News (Independent City), VA",7592055,418206,1124542,867438,4348125,0,0,851925,6848167,351265,37698,6848167,-2392005,1140156,1359886,181661,14640,351265,1558261,123428,108788,5682529,2014
77," ""51710""","Norfolk (Independent City), VA",13704839,691083,2281403,1737318,5084881,0,0,1559742,8915068,330962,36129,8915068,-7060216,2049024,1781163,246756,20465,330962,3150062,207913,187448,10223815,2014
78," ""51740""","Portsmouth (Independent City), VA",3788225,203500,708075,468060,2001213,0,0,437530,3440929,79932,35886,3440929,-1349482,585750,853966,95886,7306,79932,942105,59922,52616,2766188,2014
79," ""51760""","Richmond (Independent City), VA",12377238,700406,1522041,1275894,6112797,0,0,1338353,10328668,1190081,47545,10328668,-4926088,2478922,1736949,217238,24261,1190081,2159988,183795,159534,9027169,2014
80," ""51770""","Roanoke (Independent City), VA",4278711,259410,511509,510866,2113028,0,0,514843,3807746,257883,38278,3807746,-1650840,727411,967307,99475,9449,257883,766942,81715,72266,3253886,2014
81," ""51800""","Suffolk (Independent City), VA",1902422,117816,233140,209466,2601116,13175,-198,222549,3981957,147613,45934,3995132,921243,714860,679156,86976,8722,147415,337873,37995,29273,1417134,2014
82," ""51810""","Virginia Beach (Independent City), VA",12203470,697080,1571897,1349064,14539612,-2542,-4632,1371612,22531497,1313131,50160,22528955,3707754,4976989,3012354,449139,51408,1308499,2246429,250531,199123,8648542,2014
83," ""51901""","Albemarle + Charlottesville, VA*",6780785,385447,883127,685758,4975377,-4514,-18255,728326,8871049,755942,59358,8866535,-1077082,2989173,901985,149373,24677,737687,1226006,120623,95946,4817092,2014
84," ""51903""","Alleghany + Covington, VA*",458083,32700,61325,51830,381626,-1812,-2296,58615,735145,28739,34282,733333,-17842,118327,233380,21391,1487,26443,87240,9789,8302,344400,2014
85," ""51907""","Augusta, Staunton + Waynesboro, VA*",2787892,181445,350755,282936,2813123,61743,51194,322913,4608976,325773,39086,4670719,348144,858628,998968,119498,13567,376967,492223,63206,49639,1918702,2014
86," ""51911""","Campbell + Lynchburg, VA*",4097442,255045,483725,465264,2540905,3185,317,487677,4635635,209728,34740,4638820,-1068860,813281,1284634,133528,12783,210045,716357,86706,73923,3171040,2014
87," ""51913""","Carroll + Galax, VA*",570359,41965,78166,60924,579208,5714,2751,72427,1133203,62949,31107,1138917,81276,161688,398021,36613,3425,65700,108628,16298,12873,396031,2014
88," ""51918""","Dinwiddie, Colonial Heights + Petersburg, VA*",1651119,107677,225580,184654,1526523,2331,741,200004,2791907,91310,35925,2794238,75408,436140,831575,77780,7644,92051,317907,41098,33454,1241161,2014
89," ""51919""","Fairfax, Fairfax City + Falls Church, VA*",70876369,4125780,6331171,7431282,61034324,6697,3917,7841421,86168008,6616000,73429,86174705,-2000624,19635478,5504903,1173577,176894,6619917,10046812,860180,683286,54209640,2014
90," ""51921""","Frederick + Winchester, VA*",3389104,203462,411879,366060,3196807,-2397,-8105,386492,4771851,339395,43306,4769454,194195,849545,723102,110133,13483,331290,594909,70528,57045,2462905,2014
91," ""51923""","Greensville + Emporia, VA*",364838,23289,57591,41892,253985,3772,2481,44235,473026,7521,27763,476798,-66618,63306,159507,17174,1262,10002,78537,9376,8114,276299,2014
92," ""51929""","Henry + Martinsville, VA*",1192030,87220,158947,132306,1100471,7653,6656,153373,2196207,99471,33607,2203860,61814,363370,740019,65578,5646,106127,225100,31883,26237,860803,2014
93," ""51931""","James City + Williamsburg, VA*",2332462,148723,283573,241830,2873382,-2746,-3577,269638,5018626,273776,57833,5015880,810558,1408824,733674,86731,11463,270199,404488,55080,43617,1657775,2014
94," ""51933""","Montgomery + Radford, VA*",2870473,165311,466199,305658,2223909,6383,2351,318140,3625207,163317,31693,3631590,-328424,781716,625965,114588,10912,165668,619028,62398,51486,2085777,2014
95," ""51939""","Pittsylvania + Danville, VA*",1918648,134058,255444,215240,1784588,27624,17175,241678,3363216,131784,32392,3390840,107618,504667,1101585,104681,9688,148959,363064,50760,41072,1406625,2014
96," ""51941""","Prince George + Hopewell, VA*",2444107,123678,462652,312892,1205197,-1699,-2257,280124,2060704,50351,34558,2059005,-958786,380612,473196,59582,3580,48094,619098,35895,32315,1776915,2014
97," ""51942""","Prince William, Manassas + Manassas Park, VA*",11330617,642445,1363621,1216764,18562217,-1875,-5425,1250827,24765920,1386851,49423,24764045,8482427,3947548,2254280,501067,58010,1381426,1972003,221245,163235,7977188,2014
98," ""51944""","Roanoke + Salem, VA*",3837732,238590,469362,405040,3497514,-491,-1529,441110,5445741,391953,45809,5445250,100892,986324,961412,118869,12907,390424,671882,75230,62323,2775426,2014
99," ""51945""","Rockbridge, Buena Vista + Lexington, VA*",727523,48773,95204,79036,674342,3714,975,88291,1295114,91882,35940,1298828,35110,317508,306978,36139,4674,92857,134722,18847,14173,499944,2014
100," ""51947""","Rockingham + Harrisonburg, VA*",3695064,207966,452455,364540,2958576,234669,209234,390236,4338683,356480,35049,4573352,-346252,823842,790934,130486,16155,565714,634725,80908,64753,2494625,2014
101," ""51949""","Southampton + Franklin, VA*",399686,27786,62493,41374,520839,1145,-4311,48473,944957,36055,35537,946102,169626,175913,249350,26623,2537,31744,83180,11088,8551,284762,2014
102," ""51951""","Spotsylvania + Fredericksburg, VA*",3360568,205617,381062,355618,4797066,1441,-490,383426,7084896,362621,45091,7086337,1819924,1300835,988436,157157,16201,362131,558871,76703,60502,2439566,2014
103," ""51953""","Washington + Bristol, VA*",1666215,112428,219382,177416,1372605,15072,10690,201136,2641384,156264,36970,2656456,-92474,592083,691768,71855,8471,166954,308090,40631,32160,1191171,2014
104," ""51955""","Wise + Norton, VA*",850901,59458,129345,94726,636709,934,798,106821,1315499,41520,29882,1316433,-107371,185564,494160,44055,2863,42318,176708,20223,17360,631875,2014
105," ""51958""","York + Poquoson, VA*",1397008,87502,184464,154700,2788209,307,-784,164852,4225026,146822,53749,4225333,1556053,927708,509416,78612,6730,146038,261814,32424,25694,989156,2014
0," ""51000""",Virginia,306244872,18112689,36017008,33091254,290546779,505545,226205,34658316,437767212,27833826,52379,438272757,18960223,88219366,59506612,8367303,1011334,28060031,52562635,5060290,4048956,225622206,2015
1," ""51001""","Accomack, VA",751303,48015,106385,77234,663844,33464,27204,86632,1235993,66350,38550,1269457,-827,268930,336683,32930,3955,93554,145002,18019,14064,512747,2015
2," ""51007""","Amelia, VA",187371,12267,17768,14206,340728,24010,19874,19370,506566,45296,41503,530576,172727,71725,118123,12784,1714,65170,24871,4387,2673,97330,2015
3," ""51009""","Amherst, VA",483704,34771,72416,51496,619489,-837,-1700,60519,1080143,38438,33882,1079306,196304,171583,288234,31855,2783,36738,98164,12305,9522,348802,2015
4," ""51011""","Appomattox, VA",159818,13253,22778,15184,315760,-1588,-2541,20845,548902,25597,35345,547314,176787,83131,148423,15485,1720,23056,30370,5146,3426,106392,2015
5," ""51013""","Arlington, VA",21306347,1182815,2434167,2406150,14620599,0,0,2385890,19646826,1219198,85836,19646826,-4299858,4107334,918893,228887,32956,1219198,3637242,221671,188715,16449907,2015
6," ""51017""","Bath, VA",129809,8571,16076,13484,111025,995,439,15313,238266,10715,53610,239261,-3471,80807,47429,4463,643,11154,22818,3128,2485,95837,2015
7," ""51019""","Bedford, VA*",1140615,84777,131981,117360,1976817,-5052,-7147,143457,3294548,178608,42361,3289496,979659,636718,675961,77653,9837,171461,190661,30512,20675,778493,2015
8," ""51021""","Bland, VA",128939,8724,22238,13234,118579,454,58,15341,211559,12856,32438,212013,4981,33180,60254,6536,800,12914,28855,2872,2072,87170,2015
9," ""51023""","Botetourt, VA",610368,42959,75880,65590,990358,-1207,-2688,75754,1556166,65876,46568,1554959,455744,275625,288976,33391,4157,63188,108675,15044,10887,438505,2015
10," ""51025""","Brunswick, VA",207369,15769,31127,22496,249465,2346,251,27017,496514,12639,29627,498860,69113,72464,176931,16838,1283,12890,42375,5746,4463,152104,2015
11," ""51027""","Buchanan, VA",449807,33912,63939,49708,337440,-259,-319,58766,714540,26502,31374,714281,-53601,92547,284294,22767,1216,26183,88793,8588,7372,334831,2015
12," ""51029""","Buckingham, VA",199203,14579,31244,19920,257394,2319,1053,24539,462615,21083,27314,464934,82730,69008,138532,17022,1352,22136,41204,4946,3594,135863,2015
13," ""51033""","Caroline, VA",336761,24222,53189,36466,819437,-4646,-6776,42455,1260122,33713,41979,1255476,525131,206133,229906,29907,2737,26937,71422,8948,6211,238402,2015
14," ""51036""","Charles City, VA",112361,8061,13494,11224,170162,2305,934,13673,293053,15808,41936,295358,71474,57637,67559,7043,561,16742,19106,2411,1850,76513,2015
15," ""51037""","Charlotte, VA",162709,12708,24122,15586,198822,-540,-2547,20501,391389,26578,32084,390849,56614,64726,127301,12182,1845,24031,31915,5039,3194,106763,2015
16," ""51041""","Chesterfield, VA",8763352,537103,1019164,955172,11421140,73,-955,1014689,16591184,750746,49512,16591257,3672477,2877923,2292194,335093,40056,749791,1496750,180781,140725,6516811,2015
17," ""51043""","Clarke, VA",275492,18105,27928,26786,511974,4136,-289,31498,828702,51962,58437,832838,267980,217891,102973,14252,2984,51673,41321,7127,4143,182498,2015
18," ""51045""","Craig, VA",41904,3854,5993,3958,102696,-865,-1444,5833,184956,8348,35815,184091,66625,33068,48327,5140,630,6904,7972,1386,756,27028,2015
19," ""51047""","Culpeper, VA",1010270,63985,123656,102804,1370567,-566,-6785,115387,2093949,154421,42240,2093383,475684,372539,350277,49559,6981,147636,175058,23717,16736,687576,2015
20," ""51049""","Cumberland, VA",83993,6569,11241,6798,195071,9834,8641,9968,324612,15041,34274,334446,121046,47049,92326,9758,778,23682,14640,2271,1493,45671,2015
21," ""51051""","Dickenson, VA",213550,17491,32293,22202,202759,-1037,-1107,28592,448808,16240,29459,447771,17801,54407,190605,15200,732,15133,43394,4676,3944,155023,2015
22," ""51057""","Essex, VA",182891,13606,24097,20118,220727,-8069,-9014,23665,423929,22773,37495,415860,61501,82913,112220,11091,1370,13759,34156,5429,4059,134976,2015
23," ""51061""","Fauquier, VA",1658792,102384,175695,162238,2817069,-2760,-15933,183503,4371241,304377,63821,4368481,1341780,1108882,442530,68449,11520,288444,256814,35233,23713,1113534,2015
24," ""51063""","Floyd, VA",161277,13272,20575,15234,308320,-119,-3979,20889,540363,36199,34709,540244,167932,94970,136954,15565,2584,32220,28192,5931,3347,100865,2015
25," ""51065""","Fluvanna, VA",285433,21774,39277,28034,649059,-2327,-2948,35791,1067758,42950,40752,1065431,399417,222882,193490,26144,3026,40002,53294,7880,4854,192137,2015
26," ""51067""","Franklin, VA",784680,58700,97102,81072,1158114,5949,740,99236,2110071,119213,37629,2116020,472670,448653,509253,56234,6627,119953,137638,22416,15789,527089,2015
27," ""51071""","Giles, VA",286697,20777,41536,30420,352513,99,-453,35987,608917,25789,36320,609016,101803,89671,166832,16768,1723,25336,56746,6816,5093,204615,2015
28," ""51073""","Gloucester, VA",481224,34952,66776,48446,1033971,748,53,59175,1667856,58196,45058,1668604,611922,316288,318345,37032,3775,58249,90999,13871,10096,331976,2015
29," ""51075""","Goochland, VA",1703707,102905,146664,171504,1175248,-3442,-5230,188657,1990998,76455,88953,1987556,-339802,618717,193591,22344,3681,71225,232416,19582,15901,1400066,2015
30," ""51077""","Grayson, VA",135128,12892,22930,13296,226274,-2949,-4762,19540,454567,22845,28297,451618,110686,69944,155400,15960,2012,18083,29578,4851,2839,87467,2015
31," ""51079""","Greene, VA",224908,16041,24941,20402,504624,525,-502,26242,775181,53693,40391,775706,305958,132725,138357,19205,2098,53191,35142,6004,3906,136575,2015
32," ""51083""","Halifax, VA",646050,45832,95668,71182,584961,-727,-4506,81423,1138798,51966,32420,1138071,20334,178145,374965,35104,3387,47460,131259,16511,13124,467331,2015
33," ""51085""","Hanover, VA",3223176,196920,331458,337256,3983124,4949,-2795,365548,5720883,447346,55539,5725832,1125496,1025635,717073,103095,13956,444551,500086,67704,53748,2278539,2015
34," ""51087""","Henrico, VA",16402895,953447,1430456,1549606,13664034,1033,-162,1728250,19225677,3371299,59264,19226710,-1010611,3360144,2202532,324424,43871,3371137,2205259,244126,200255,10826499,2015
35," ""51091""","Highland, VA",32529,2218,4396,2492,33514,7092,6378,3464,82069,3149,40602,89161,4449,32933,22714,2196,717,9527,5642,1313,596,17360,2015
36," ""51093""","Isle of Wight, VA",702973,47460,81027,71838,1237641,-1309,-3126,83379,1834815,69398,50670,1833506,618047,288284,307581,36185,3891,66272,116946,15634,11743,519755,2015
37," ""51097""","King and Queen, VA",69759,5786,9038,6760,161949,-264,-1339,9166,269652,13408,38001,269388,101356,42483,64956,7089,741,12069,12418,1883,1142,45272,2015
38," ""51099""","King George, VA",1319361,72070,205327,143124,936212,-1648,-2138,143632,1349383,170851,52973,1347735,-239517,258457,153066,25442,2526,168713,276889,14463,11937,873759,2015
39," ""51101""","King William, VA",251475,17393,28330,26496,437753,-2226,-2899,30641,676822,36923,41419,674596,216919,112508,124335,16287,1747,34024,41578,5757,4010,175873,2015
40," ""51103""","Lancaster, VA",245602,18658,28884,25114,203011,-611,-1030,31215,565470,31941,52167,564859,-11376,215850,145998,10828,2015,30911,41441,6888,4873,173250,2015
41," ""51105""","Lee, VA",240698,20734,42514,25352,301969,-1427,-2399,33410,664080,23575,26911,662653,94681,91467,269217,24624,2373,21176,55190,7315,4942,164332,2015
42," ""51107""","Loudoun, VA",13881758,805271,1376796,1442286,21367043,-1028,-14105,1526414,26752456,1307756,71494,26751428,9011699,4051671,1332714,374176,53554,1293651,2097939,220455,166901,10490168,2015
43," ""51109""","Louisa, VA",685813,45277,91649,72914,836695,-788,-2346,81734,1370299,63451,39725,1369511,232616,249820,282996,34475,3783,61105,128106,13948,10165,496602,2015
44," ""51111""","Lunenburg, VA",135239,10699,21181,14320,182308,912,-1205,17859,362545,11832,29434,363457,64928,67823,113326,12348,1027,10627,28341,3900,2873,96271,2015
45," ""51113""","Madison, VA",249012,16581,22054,17930,383475,-910,-3950,25546,614399,105467,46996,613489,160009,128213,101801,13054,2087,101517,31019,5520,3433,116476,2015
46," ""51115""","Mathews, VA",90895,8261,10050,7162,222813,412,362,11842,450288,27660,51025,450700,143760,129806,98081,8833,1348,28022,13631,2954,1606,49242,2015
47," ""51117""","Mecklenburg, VA",564721,41337,78242,64314,498044,3101,-2281,73494,1031895,35823,33458,1034996,6817,193501,343451,30934,3155,33542,110399,15765,12610,420780,2015
48," ""51119""","Middlesex, VA",191373,14299,25828,17330,219960,717,-483,22964,480249,37390,45022,480966,51551,136858,124148,10683,1863,36907,34493,5366,3503,119973,2015
49," ""51125""","Nelson, VA",231150,17300,28774,20602,343318,1804,-1201,27601,676598,54724,45950,678402,139769,175221,159863,14764,2799,53523,39075,7054,4255,138552,2015
50," ""51127""","New Kent, VA",253201,18082,30786,24196,1034292,-1144,-1368,30180,1383605,50024,67828,1382461,811271,197248,150921,20382,3006,48656,42884,7363,4357,161661,2015
51," ""51131""","Northampton, VA",270380,16769,32570,27392,251775,33396,20966,30465,477290,27916,42300,510686,11860,117887,141024,12073,1802,48882,46266,7026,5224,175232,2015
52," ""51133""","Northumberland, VA",150698,13884,18773,15282,210709,317,-594,21525,560226,24327,45785,560543,81536,198721,151113,12243,1772,23733,26414,4397,2625,100551,2015
53," ""51135""","Nottoway, VA",325339,20937,60139,37810,233630,10004,7745,39842,484046,10915,31644,494050,-51867,90796,169624,15613,1443,18660,79044,7790,6347,227635,2015
54," ""51137""","Orange, VA",539933,37902,68501,52562,945723,14116,3353,64183,1576629,81654,45226,1590745,469973,331346,313676,35173,4423,85007,94782,14362,9939,360144,2015
55," ""51139""","Page, VA",321230,22734,39470,31864,466899,34710,31826,38666,803271,42867,35407,837981,184335,151930,219152,23667,2672,74693,55402,8746,6074,191135,2015
56," ""51141""","Patrick, VA",241040,18988,34481,24826,278214,1731,-124,31401,548310,34363,30605,550041,68575,85709,186118,17972,2144,34239,46894,7637,5493,159907,2015
57," ""51145""","Powhatan, VA",445933,30109,58507,43154,957749,343,-447,51686,1420992,67567,50639,1421335,563502,263414,200172,28068,3563,67120,80084,11215,7652,298729,2015
58," ""51147""","Prince Edward, VA",469201,29883,69724,50002,344118,2546,1535,54884,643005,42243,27899,645551,-70199,112831,188602,23139,2243,43778,94725,11851,9608,330698,2015
59," ""51155""","Pulaski, VA",781710,52121,109372,90498,712276,4307,2818,97370,1249597,50763,36496,1253904,27936,188902,352726,34357,2565,53581,154621,17441,14876,573508,2015
60," ""51157""","Rappahannock, VA",146246,10325,13143,10076,223312,-2348,-4242,15363,423263,45124,56811,420915,92429,134692,62911,7409,1721,40882,18181,3465,1744,87183,2015
61," ""51159""","Richmond, VA",160355,10557,26185,16768,154676,751,-1613,18941,291594,12603,33300,292345,13262,64234,73435,8779,1001,10990,34569,4089,3088,114796,2015
62," ""51167""","Russell, VA",412346,32455,55451,48108,424332,1776,-175,56509,840726,24391,30237,842502,68495,114651,303519,27863,2425,24216,79505,10196,7771,308625,2015
63," ""51169""","Scott, VA",239648,21283,35868,26280,334608,-2099,-2785,34423,679496,22570,30379,677397,129383,99375,243414,22298,2581,19785,49008,7838,5257,170855,2015
64," ""51171""","Shenandoah, VA",795333,53359,97619,78660,1037566,23208,19429,92689,1722464,107042,40727,1745672,334922,333384,374722,42863,5688,126471,136949,20934,15246,531913,2015
65," ""51173""","Smyth, VA",667396,45424,99767,70568,585973,8408,6539,80708,1052263,63333,33732,1060671,-715,142832,331866,31444,3085,69872,135051,15996,12911,462473,2015
66," ""51179""","Stafford, VA",3095126,181698,430891,336194,5135169,-3426,-3895,349795,7204032,233697,51055,7200606,2389838,1244334,821103,141035,14099,229802,598988,59304,45205,2266336,2015
67," ""51181""","Surry, VA",277003,16279,46085,29770,171829,-1750,-2585,31164,272299,7004,40538,270549,-74010,38491,60229,6674,669,4419,60970,3354,2685,211614,2015
68," ""51183""","Sussex, VA",205097,13485,33258,22452,176061,767,-691,24711,326261,9884,27970,327028,-4325,49298,101669,11692,861,9193,44484,4929,4068,151420,2015
69," ""51185""","Tazewell, VA",794508,57103,115025,84866,744538,6518,5435,99536,1454165,70334,34025,1460683,49566,232799,483346,42930,3683,75769,157458,20172,16489,561281,2015
70," ""51187""","Warren, VA",702678,45711,87722,76442,1080389,-1807,-2632,83932,1627156,76230,41953,1625349,461643,259716,285244,38742,4396,73598,125943,17331,12935,503137,2015
71," ""51193""","Westmoreland, VA",176499,14294,24343,17524,334550,13337,8009,23056,672246,21023,39058,685583,181107,175418,175615,17553,2115,29032,33105,5925,3810,114362,2015
72," ""51197""","Wythe, VA",587227,39731,85719,63376,506715,10141,7304,71419,926828,45178,32192,936969,-9093,143118,287136,29106,3400,52482,117407,15731,12331,417338,2015
73," ""51510""","Alexandria (Independent City), VA",10223260,573443,1140448,1147078,8932999,0,0,1146982,12502135,907067,81257,12502135,-143279,2816255,752881,153859,24325,907067,1713987,126918,102593,7602206,2015
74," ""51550""","Chesapeake (Independent City), VA",5864676,356303,724110,671618,7456421,3672,-1308,692112,11041623,322041,46951,11045295,2283857,1934058,1654816,235253,22682,320733,1059919,127558,104876,4484024,2015
75," ""51650""","Hampton (Independent City), VA",4203034,236868,690159,516584,3206346,0,0,495160,5373683,133887,39403,5373683,-501528,977445,1189892,136379,11367,133887,948451,75674,64307,3120696,2015
76," ""51700""","Newport News (Independent City), VA",7769411,429450,1153732,897138,4521762,0,0,878019,7083384,335806,39109,7083384,-2369630,1158447,1403175,181121,15521,335806,1602301,123799,108278,5831304,2015
77," ""51710""","Norfolk (Independent City), VA",14332476,727591,2419938,1839268,5177024,0,0,1647225,9122280,274794,36982,9122280,-7508227,2117495,1827761,246667,20718,274794,3339572,211487,190769,10718110,2015
78," ""51740""","Portsmouth (Independent City), VA",3911245,211281,734709,485750,2061915,0,0,454156,3547748,78615,36800,3547748,-1395174,601775,884058,96407,7171,78615,977584,60430,53259,2855046,2015
79," ""51760""","Richmond (Independent City), VA",12990792,738498,1594210,1337700,6493827,0,0,1407348,11011119,1218875,49805,11011119,-5089617,2712727,1804565,221084,25000,1218875,2263060,186071,161071,9508857,2015
80," ""51770""","Roanoke (Independent City), VA",4449021,269542,531977,527300,2228073,0,0,533192,4001638,275472,40120,4001638,-1687756,783803,989762,99741,9447,275472,795627,81492,72045,3377922,2015
81," ""51800""","Suffolk (Independent City), VA",2025326,125166,256915,225016,2730091,10794,-133,237674,4213574,159540,47901,4224368,942439,767060,727217,88190,9131,159407,369423,39711,30580,1496496,2015
82," ""51810""","Virginia Beach (Independent City), VA",12752638,732348,1627341,1405158,15197098,-4712,-6405,1434927,23597008,1457387,52353,23592296,3879387,5197746,3197452,450635,53217,1450982,2329920,255345,202128,8971736,2015
83," ""51901""","Albemarle + Charlottesville, VA*",7244441,412689,963144,740628,5304676,-5382,-16484,783003,9473982,732251,62467,9468600,-1156762,3210384,953540,151578,25459,715767,1333458,124844,99385,5195216,2015
84," ""51903""","Alleghany + Covington, VA*",483734,34309,63319,56064,400428,-1314,-1704,62341,762063,27556,36049,760749,-20965,120695,239626,21103,1514,25852,91351,9961,8447,366531,2015
85," ""51907""","Augusta, Staunton + Waynesboro, VA*",2867325,185363,366059,294378,2892203,53341,44823,332552,4767154,311828,40151,4820495,357430,888720,1039572,120059,13690,356651,513248,64144,50454,1997426,2015
86," ""51911""","Campbell + Lynchburg, VA*",4147231,259443,498343,474054,2584125,514,-1796,496470,4703852,194912,34941,4704366,-1066636,811148,1309093,134637,12569,193116,735370,87095,74526,3218745,2015
87," ""51913""","Carroll + Galax, VA*",595097,43492,82231,63852,606614,7353,4951,75418,1178740,64240,32342,1186093,86935,170581,408898,36673,3414,69191,114157,16561,13147,411749,2015
88," ""51918""","Dinwiddie, Colonial Heights + Petersburg, VA*",1690074,110757,230838,192010,1562058,-1441,-2725,206762,2889210,92612,37262,2887769,78746,473368,852343,77498,7684,89887,326843,41879,34195,1273344,2015
89," ""51919""","Fairfax, Fairfax City + Falls Church, VA*",73298696,4300682,6632634,7689848,62997123,5936,3688,8145606,89563615,6515620,76031,89569551,-2155967,20702347,5870081,1178064,184591,6519308,10477558,877357,692766,56301830,2015
90," ""51921""","Frederick + Winchester, VA*",3562609,215100,431137,381376,3380031,-6317,-10929,405788,5061563,365644,45533,5055246,223210,906017,769198,111025,13429,354715,621825,71689,58260,2586069,2015
91," ""51923""","Greensville + Emporia, VA*",373743,24128,59704,43186,255439,-525,-1574,45721,492051,5615,28312,491526,-72583,68512,167575,17361,1349,4041,81297,9514,8165,288405,2015
92," ""51929""","Henry + Martinsville, VA*",1231769,89843,164498,135402,1131215,6985,6173,157544,2279457,109302,35050,2286442,56990,379202,776025,65233,5420,115475,232199,31747,26327,884095,2015
93," ""51931""","James City + Williamsburg, VA*",2424538,155281,297477,252720,3014250,-3879,-4550,281641,5335993,282988,60775,5332114,871353,1527330,790534,87735,12037,278438,423837,56417,44380,1722263,2015
94," ""51933""","Montgomery + Radford, VA*",3015624,172957,499748,319450,2359943,4430,1174,332682,3807904,187936,33229,3812334,-322999,817412,634979,114728,10874,189110,659473,63192,52318,2167041,2015
95," ""51939""","Pittsylvania + Danville, VA*",1978854,138981,267960,221566,1832366,15496,7040,249764,3494375,125386,33745,3509871,103276,539219,1138286,104011,9741,132426,378743,51253,41512,1467685,2015
96," ""51941""","Prince George + Hopewell, VA*",2515434,126589,479502,328640,1231389,-3165,-3611,290909,2128810,38155,35107,2125645,-993136,406600,487656,60547,3622,34544,643822,36512,32890,1837068,2015
97," ""51942""","Prince William, Manassas + Manassas Park, VA*",11776446,669517,1430715,1272704,19176025,-3527,-6391,1305869,25690072,1400480,50485,25686545,8705448,4067770,2442750,508796,61700,1394089,2067067,228558,166858,8315290,2015
98," ""51944""","Roanoke + Salem, VA*",4122325,257157,498117,420084,3692517,-768,-1603,467199,5738532,416223,48291,5737764,37391,1030737,1014510,118817,13128,414620,708159,76199,63071,2999546,2015
99," ""51945""","Rockbridge, Buena Vista + Lexington, VA*",744551,50055,99308,81866,694140,791,-1422,90988,1330590,90251,36855,1331381,40577,325398,311843,36125,4651,88829,140241,19007,14356,515481,2015
100," ""51947""","Rockingham + Harrisonburg, VA*",3872617,220104,469815,382260,3119619,214142,193545,411234,4583723,400778,36567,4797865,-341764,852618,825628,131208,16353,594323,660945,82108,65755,2617349,2015
101," ""51949""","Southampton + Franklin, VA*",404317,28964,66211,42834,528643,-12033,-16461,50381,986476,37787,36802,974443,174707,184874,260926,26478,2433,21326,87628,11379,8946,295363,2015
102," ""51951""","Spotsylvania + Fredericksburg, VA*",3524002,216358,402229,372274,4967982,139,-1416,402495,7379762,378814,46674,7379901,1846475,1357007,1054912,158117,16857,377398,588366,78689,61832,2558238,2015
103," ""51953""","Washington + Bristol, VA*",1660865,116943,230228,182694,1356889,10109,6576,208290,2632388,115788,36961,2642497,-95686,570432,715176,71494,8254,122364,321575,40319,32065,1216926,2015
104," ""51955""","Wise + Norton, VA*",844947,59312,133036,95182,631993,349,241,106903,1317433,39250,30218,1317782,-106051,181563,504226,43609,2733,39491,180627,19858,17125,624829,2015
105," ""51958""","York + Poquoson, VA*",1461366,91706,195473,163002,2838583,679,-205,173207,4348839,143410,54425,4349518,1550424,970606,540329,79918,6920,143205,276974,33142,26222,1041187,2015
0," ""51000""",Virginia,311566614,18663880,36969072,33423844,296120034,258043,-57008,35375802,449572063,26839062,53439,449830106,19929222,91993130,61716942,8417651,1042791,26782054,53680994,5156641,4113850,231103566,2016
1," ""51001""","Accomack, VA",845991,52881,128688,91406,710353,24931,17865,98584,1328923,64464,41147,1353854,-37054,299253,344248,32903,3801,82329,174391,18612,14811,589271,2016
2," ""51007""","Amelia, VA",164396,11941,18128,14286,332600,15396,10719,19084,513682,30566,41318,529078,187288,74011,122467,12805,1681,41285,25271,4411,2730,97840,2016
3," ""51009""","Amherst, VA",470750,35272,70007,49642,620441,-1872,-2844,60093,1098357,35224,34369,1096485,209784,172811,303233,31903,2970,32380,94828,12148,9178,343542,2016
4," ""51011""","Appomattox, VA",160890,13922,23383,15516,319666,-3006,-4062,21680,560383,22878,35879,557377,180456,83225,154486,15535,1768,18816,31141,5294,3526,110933,2016
5," ""51013""","Arlington, VA",22040503,1220142,2524614,2448002,14854712,0,0,2444143,20198584,1287387,87136,20198584,-4741648,4386558,957314,231805,34625,1287387,3748615,227324,192699,17004501,2016
6," ""51017""","Bath, VA",132251,8906,16772,14082,111698,724,99,15947,249098,7327,56675,249822,-4606,87629,50495,4408,626,7426,23813,3092,2466,101012,2016
7," ""51019""","Bedford, VA*",1121882,86884,134026,116514,1981559,-7827,-10172,145141,3341913,151129,42732,3334086,1004818,642642,709885,78024,9913,140957,192283,30483,20570,788642,2016
8," ""51021""","Bland, VA",125266,8836,21794,13382,111587,-476,-910,15527,212766,9398,32746,212290,1848,35390,65313,6483,743,8488,28485,2821,2078,88293,2016
9," ""51023""","Botetourt, VA",611979,44432,76005,64442,981568,-2841,-4515,76653,1580479,62107,47379,1577638,446242,288452,307618,33298,4286,57592,108226,15314,11028,446161,2016
