,GeoFIPS,GeoName,Earnings by place of work,Employee and self-employed contributions for government social insurance,Employer contributions for employee pension and insurance funds 8,Employer contributions for government social insurance,Equals: Net earnings by place of residence,Farm income 2,Farm proprietors' income,Less: Contributions for government social insurance 5,Nonfarm personal income 1,Nonfarm proprietors' income,Per capita personal income (dollars) 4,Personal income (thousands of dollars),Plus: Adjustment for residence 6,"Plus: Dividends, interest, and rent 7",Plus: Personal current transfer receipts,Population (persons) 3,Proprietors employment,Proprietors' income 9,Supplements to wages and salaries,Total employment,Wage and salary employment,Wages and salaries,year
63," ""51169""","Scott, VA",217687,19238,32292,23732,303069,-3234,-3960,31104,611506,15741,26205,608272,116486,92511,212692,23212,2709,11781,44158,8141,5432,161748,2009
64," ""51171""","Shenandoah, VA",629851,43919,82879,62668,806761,8300,5015,75253,1346269,75527,32450,1354569,252163,266008,281800,41743,5668,80542,114213,19863,14195,435096,2009
65," ""51173""","Smyth, VA",553534,39082,85714,61282,472116,-3516,-5253,69723,893694,41440,27574,890178,-11695,127913,290149,32283,3331,36187,116355,15703,12372,400992,2009
66," ""51179""","Stafford, VA",2484272,140198,343002,273282,4349591,-2438,-2843,276839,5829505,185471,46082,5827067,2142158,980069,497407,126449,11967,182628,479643,51150,39183,1822001,2009
67," ""51181""","Surry, VA",224355,12750,40197,22448,154351,3113,1915,23974,233114,5455,33569,236227,-46030,35298,46578,7037,614,7370,51421,2990,2376,165564,2009
68," ""51183""","Sussex, VA",181840,11881,27253,19228,177852,7632,5875,21495,308748,7054,25986,316380,17507,49344,89184,12175,847,12929,36867,4805,3958,132044,2009
69," ""51185""","Tazewell, VA",798000,56636,114914,84722,746884,-1729,-2530,98997,1409844,58178,31244,1408115,47881,240590,420641,45069,3694,55648,157275,22069,18375,585077,2009
70," ""51187""","Warren, VA",582812,38204,75588,62214,911880,-3139,-3896,69311,1369962,58180,36703,1366823,398379,241410,213533,37240,4400,54284,106695,16993,12593,421833,2009
71," ""51193""","Westmoreland, VA",160006,12858,21565,15906,295584,7693,2437,20811,570993,19968,33166,578686,156389,144287,138815,17448,2048,22405,29518,5983,3935,108083,2009
72," ""51197""","Wythe, VA",489674,34190,74346,53392,460535,-3225,-5726,60886,837613,33997,28559,834388,31747,133570,240283,29216,3232,28271,101042,15347,12115,360361,2009
73," ""51510""","Alexandria (Independent City), VA",9563410,529264,1102006,1041632,7306560,0,0,1050080,9873831,863047,71798,9873831,-1206770,2003604,563667,137523,19353,863047,1622822,126442,107089,7077541,2009
74," ""51550""","Chesapeake (Independent City), VA",5127688,308146,644954,563056,6424867,8239,2916,589674,9077804,299829,41267,9086043,1886853,1496266,1164910,220176,19963,302745,926482,121598,101635,3898461,2009
75," ""51650""","Hampton (Independent City), VA",4185455,227348,676915,499280,3035156,0,0,476988,4789312,112810,34747,4789312,-673311,833520,920636,137833,9275,112810,926555,77457,68182,3146090,2009
76," ""51700""","Newport News (Independent City), VA",6332981,346161,1008136,694308,3976151,0,0,693315,6127926,235117,33856,6127926,-1663515,1036936,1114839,181000,12975,235117,1355290,119637,106662,4742574,2009
77," ""51710""","Norfolk (Independent City), VA",13356276,653768,2195448,1622604,4930174,0,0,1465070,8124422,523928,33610,8124422,-6961032,1695557,1498691,241725,17956,523928,3006750,214998,197042,9825598,2009
78," ""51740""","Portsmouth (Independent City), VA",3211825,171828,571066,381846,1917801,0,0,362751,3186930,62730,33412,3186930,-931273,534292,734837,95384,6709,62730,761989,57088,50379,2387106,2009
79," ""51760""","Richmond (Independent City), VA",11304595,657116,1408225,1154444,4763468,0,0,1234338,8337222,753452,40933,8337222,-5306789,2032966,1540788,203678,18608,753452,1985447,178463,159855,8565696,2009
80," ""51770""","Roanoke (Independent City), VA",3836669,231950,488397,447924,1921050,0,0,455912,3318345,213237,34202,3318345,-1459707,573829,823466,97023,8504,213237,712359,80200,71696,2911073,2009
81," ""51800""","Suffolk (Independent City), VA",1478040,92673,194385,158438,2336043,16487,6099,171892,3446918,106190,41405,3463405,1029895,598377,528985,83648,8003,112289,273604,34826,26823,1092147,2009
82," ""51810""","Virginia Beach (Independent City), VA",10387858,590560,1453501,1191052,12584093,1901,246,1186086,18972355,512616,43619,18974256,3382321,4106652,2283511,435004,47138,512862,2049027,243151,196013,7825969,2009
83," ""51901""","Albemarle + Charlottesville, VA*",5701735,336287,735728,562344,4027554,-402,-9261,617459,6844641,656195,48498,6844239,-1056722,2093065,723620,141125,22159,646934,1016900,113544,91385,4037901,2009
84," ""51903""","Alleghany + Covington, VA*",430036,30258,57504,48532,368274,-1641,-1879,54524,693016,18690,31067,691375,-7238,111292,211809,22254,1428,16811,81770,10110,8682,331455,2009
85," ""51907""","Augusta, Staunton + Waynesboro, VA*",2592276,170405,322288,244398,2606758,12773,3683,292604,4144128,450301,35052,4156901,307086,713753,836390,118593,13229,453984,444487,62262,49033,1693805,2009
86," ""51911""","Campbell + Lynchburg, VA*",3665128,226917,462898,407824,2271715,-2272,-4341,430829,3984903,156510,30728,3982631,-962584,661497,1049419,129609,12130,152169,666810,85574,73444,2846149,2009
87," ""51913""","Carroll + Galax, VA*",524741,39148,74388,56914,518556,-275,-2161,67605,1032085,47128,27911,1031810,61420,156732,356522,36968,3260,44967,102845,16460,13200,376929,2009
88," ""51918""","Dinwiddie, Colonial Heights + Petersburg, VA*",1537169,99417,219855,169758,1434331,2867,1434,184296,2596699,63828,33508,2599566,81458,403118,762117,77581,7235,65262,304734,41346,34111,1167173,2009
89," ""51919""","Fairfax, Fairfax City + Falls Church, VA*",60179215,3492510,5787623,6361282,51571551,5971,4299,6673151,70340463,3269526,63989,70346434,-1934513,14593357,4181526,1099347,160628,3273825,8968264,822361,661733,47937126,2009
90," ""51921""","Frederick + Winchester, VA*",2719887,165710,332250,295834,2674054,-2266,-7326,313627,3895236,204500,37609,3892970,267794,648615,570301,103513,12517,197174,480167,63678,51161,2042546,2009
91," ""51923""","Greensville + Emporia, VA*",342126,21611,52625,38338,263342,4969,4114,40780,457276,5619,25486,462245,-38004,63901,135002,18137,1026,9733,71794,9686,8660,260599,2009
92," ""51929""","Henry + Martinsville, VA*",1096139,79828,157077,122666,971254,5043,4137,141161,1995782,68942,29246,2000825,16276,370045,659526,68414,5471,73079,218410,32328,26857,804650,2009
93," ""51931""","James City + Williamsburg, VA*",2149519,137092,261869,217708,2449633,610,148,245946,4053368,277326,50799,4053978,546060,1052649,551696,79805,10760,277474,370723,54694,43934,1501322,2009
94," ""51933""","Montgomery + Radford, VA*",2477383,145660,392863,266156,1899979,1091,-1962,278738,3104552,114706,28199,3105643,-298666,687473,518191,110133,10385,112744,525941,60903,50518,1838698,2009
